roster_entity,raw_client_name,alias_coverage,n_press_mentions,n_distinct_members_mentioning,most_recent_mention_date
BYTEDANCE INC.,BYTEDANCE INC.,reviewed,150,90,2026-03-17
CALIFORNIA STATE SENATE,CALIFORNIA STATE SENATE,not_reviewed,0,0,
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE FINANCIAL CORPORATION,reviewed,45,22,2026-03-25
CARVANA,CARVANA,not_reviewed,0,0,
CATERPILLAR INC,CATERPILLAR INC,reviewed,7,7,2026-03-26
CEDIA,CEDIA,not_reviewed,0,0,
CENTER FOR FREEDOM AND PROSPERITY,CENTER FOR FREEDOM AND PROSPERITY,not_reviewed,0,0,
CHAMBER OF COMMERCE OF THE U.S.A.,CHAMBER OF COMMERCE OF THE U.S.A.,not_reviewed,0,0,
CHAMBER OF PROGRESS,CHAMBER OF PROGRESS,not_reviewed,0,0,
CHARTER COMMUNICATIONS,CHARTER COMMUNICATIONS INC.,not_reviewed,0,0,
CHARTER COMMUNICATIONS,"CHARTER COMMUNICATIONS, INC.",not_reviewed,0,0,
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL INC,not_reviewed,0,0,
CHUBB INA HOLDINGS,CHUBB INA HOLDING COMPANY INC,not_reviewed,0,0,
CHUBB INA HOLDINGS,"CHUBB INA HOLDINGS, INC.",reviewed,2,2,2023-11-02
CINCINNATI BELL INC (DBA ALTAFIBER) AND ITS SUBSIDIARIES,CINCINNATI BELL INC (DBA ALTAFIBER) AND ITS SUBSIDIARIES,not_reviewed,0,0,
"CITIGROUP WASHINGTON, INC.","CITIGROUP WASHINGTON, INC.",reviewed,42,27,2026-03-13
"CLOAKED, INC.","CLOAKED, INC.",not_reviewed,0,0,
CLOUDFLARE,CLOUDFLARE,not_reviewed,0,0,
CMS ENERGY CORP,CMS ENERGY CORP,not_reviewed,0,0,
COALITION FOR HEALTHCARE COMMUNICATIONS,COALITION FOR HEALTHCARE COMMUNICATIONS,not_reviewed,0,0,
COCA-COLA COMPANY,COCA-COLA COMPANY,not_reviewed,0,0,
COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME),COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME),not_reviewed,0,0,
COMCAST CORPORATION,COMCAST CORPORATION,reviewed,39,23,2026-02-02
COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,reviewed,26,15,2025-12-15
"CONSTELLATION ENERGY GENERATION, LLC","CONSTELLATION ENERGY GENERATION, LLC",not_reviewed,0,0,
CONSUMER DATA INDUSTRY ASSOCIATION,CONSUMER DATA INDUSTRY ASSOCIATION,rejected_too_generic,0,0,
CONSUMER TECHNOLOGY ASSOCIATION,CONSUMER TECHNOLOGY ASSOCIATION,rejected_too_generic,0,0,
"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.","CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",not_reviewed,0,0,
TARGET CORPORATION,CORNERSTONE GOVERNMENT AFFAIRS OBO TARGET CORPORATION,not_reviewed,0,0,
COX ENTERPRISES INC.,COX ENTERPRISES INC.,not_reviewed,0,0,
CREDIT KARMA AN INTUIT AFFILIATE,CREDIT KARMA AN INTUIT AFFILIATE,not_reviewed,0,0,
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS","CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS",not_reviewed,0,0,
CTIA - THE WIRELESS ASSOCIATION,CTIA - THE WIRELESS ASSOCIATION,reviewed,40,24,2025-11-21
CTIA - THE WIRELESS ASSOCIATION,CTIA-THE WIRELESS ASSOCIATION,reviewed,40,24,2025-11-21
CUNA MUTUAL GROUP,CUNA MUTUAL GROUP,not_reviewed,0,0,
DAPPER LABS INC.,DAPPER LABS INC.,reviewed,0,0,
DAVID'S LEGACY FOUNDATION,DAVID'S LEGACY FOUNDATION,not_reviewed,0,0,
DELL INC.,DELL INC.,reviewed,27,20,2026-03-26
DELL TECHNOLOGIES INC,DELL TECHNOLOGIES INC,not_reviewed,0,0,
"DEMAND PROGRESS ACTION, INC","DEMAND PROGRESS ACTION, INC",not_reviewed,0,0,
DENSO INTERNATIONAL AMERICA INC,DENSO INTERNATIONAL AMERICA INC,not_reviewed,0,0,
DEUTSCHE BANK USA (FKA DEUTSCHE BANK SECURITIES INC.),DEUTSCHE BANK USA (FKA DEUTSCHE BANK SECURITIES INC.),reviewed,0,0,
DIGITAL ANALYTICS FREEDOM ALLIANCE,DIGITAL ANALYTICS FREEDOM ALLIANCE,not_reviewed,0,0,
DIGITAL CONTENT NEXT,DIGITAL CONTENT NEXT,not_reviewed,0,0,
DIRECTV,DIRECTV,not_reviewed,0,0,
DIRECTV,"DIRECTV, LLC",reviewed,11,5,2025-12-02
"DISCOVER FINANCIAL SERVICES, INC.","DISCOVER FINANCIAL SERVICES, INC.",rejected_too_generic,0,0,
"DISCOVERY COMMUNICATIONS, LLC","DISCOVERY COMMUNICATIONS, LLC",not_reviewed,0,0,
DISNEY WORLDWIDE SERVICES INC,DISNEY WORLDWIDE SERVICES INC,not_reviewed,0,0,
DOMINO'S NATIONAL ADVERTISING FUND INC,DOMINO'S NATIONAL ADVERTISING FUND INC,reviewed,1,1,2024-12-05
DOW CHEMICAL COMPANY DBA DOW,DOW CHEMICAL COMPANY DBA DOW,not_reviewed,0,0,
"DROPBOX, INC.","DROPBOX, INC.",reviewed,14,5,2026-03-24
DUKE ENERGY CORPORATION,DUKE ENERGY CORPORATION,rejected_too_generic,0,0,
EBAY,EBAY INC,not_reviewed,0,0,
EBAY,EBAY INC.,not_reviewed,0,0,
EDISON ELECTRIC INSTITUTE,EDISON ELECTRIC INSTITUTE,rejected_too_generic,0,0,
ELECTRONIC FRONTIER FOUNDATION,ELECTRONIC FRONTIER FOUNDATION,not_reviewed,0,0,
ELECTRONIC PAYMENTS COALITION,ELECTRONIC PAYMENTS COALITION,rejected_too_generic,0,0,
ELECTRONIC TRANSACTIONS ASSOCIATION,ELECTRONIC TRANSACTIONS ASSOCIATION,not_reviewed,0,0,
ENEL NORTH AMERICA INC AND ITS AFFILIATES,ENEL NORTH AMERICA INC AND ITS AFFILIATES,not_reviewed,0,0,
ENTERGY SERVICES LLC,ENTERGY SERVICES LLC,not_reviewed,0,0,
ENTERPRISE CLOUD COALITION,ENTERPRISE CLOUD COALITION,not_reviewed,0,0,
ENTERTAINMENT SOFTWARE ASSOCIATION,ENTERTAINMENT SOFTWARE ASSOCIATION,rejected_too_generic,0,0,
EPIC SYSTEMS CORPORATION,EPIC SYSTEMS CORPORATION,rejected_too_generic,0,0,
EQUIFAX INC.,EQUIFAX INC.,not_reviewed,0,0,
"ETSY, INC.","ETSY, INC.",reviewed,27,18,2026-02-04
"EVENTBRITE, INC.","EVENTBRITE, INC.",not_reviewed,0,0,
EXPEDIA GROUP,EXPEDIA GROUP,not_reviewed,0,0,
21ST CENTURY PRIVACY COALITION,FARRAGUT PARTNERS ON BEHALF OF 21ST CENTURY PRIVACY COALITION,not_reviewed,0,0,
FEDEX CORPORATION,FEDEX CORPORATION,reviewed,45,26,2026-03-19
FIFTH THIRD BANK,FIFTH THIRD BANK,not_reviewed,0,0,
FINANCIAL INDUSTRY REGULATORY AUTHORITY,FINANCIAL INDUSTRY REGULATORY AUTHORITY,not_reviewed,0,0,
FINANCIAL TECHNOLOGY ASSOCIATION (FTA),FINANCIAL TECHNOLOGY ASSOCIATION (FTA),not_reviewed,0,0,
FINSECA,FINSECA,reviewed,1,1,2026-01-22
FIRST AMERICAN FINANCIAL CORPORATION,FIRST AMERICAN FINANCIAL CORPORATION,not_reviewed,0,0,
FOOD MARKETPLACE INC,FOOD MARKETPLACE INC,not_reviewed,0,0,
FORD MOTOR COMPANY,FORD MOTOR COMPANY,not_reviewed,0,0,
"FOUNDATION MEDICINE, INC.","FOUNDATION MEDICINE, INC.",not_reviewed,0,0,
FOX CORPORATION,FOX CORPORATION,rejected_too_generic,0,0,
GAP INC.,GAP INC.,not_reviewed,0,0,
"GARMIN INTERNATIONAL, INC.","GARMIN INTERNATIONAL, INC.",reviewed,2,1,2023-07-21
GENENTECH INC,GENENTECH INC,not_reviewed,0,0,
GENERAL MOTORS COMPANY,GENERAL MOTORS COMPANY,reviewed,160,63,2026-02-18
"GLOBAL PAYMENTS, INC.","GLOBAL PAYMENTS, INC.",not_reviewed,0,0,
GOOGLE CLIENT SERVICES,GOOGLE CLIENT SERVICES LLC,not_reviewed,0,0,
GOOGLE CLIENT SERVICES,"GOOGLE CLIENT SERVICES, LLC",not_reviewed,0,0,
GOVERNMENT ACCOUNTABILITY PROJECT,GOVERNMENT ACCOUNTABILITY PROJECT,not_reviewed,0,0,
GRUBHUB HOLDINGS INC.,GRUBHUB HOLDINGS INC.,not_reviewed,0,0,
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,rejected_too_generic,0,0,
"H&R BLOCK MANAGEMENT, LLC","H&R BLOCK MANAGEMENT, LLC",reviewed,25,14,2026-03-09
HARTFORD INSURANCE GROUP (FKA HARTFORD FINANCIAL SERVICES GROUP),HARTFORD INSURANCE GROUP (FKA HARTFORD FINANCIAL SERVICES GROUP),not_reviewed,0,0,
HEALTH INNOVATION ALLIANCE,HEALTH INNOVATION ALLIANCE,not_reviewed,0,0,
HOME DEPOT,HOME DEPOT,not_reviewed,0,0,
HONEYWELL INTERNATIONAL,HONEYWELL INTERNATIONAL,not_reviewed,0,0,
HP,HP INC,not_reviewed,0,0,
HP,HP INC.,not_reviewed,0,0,
IBM,IBM,not_reviewed,0,0,
"ID.ME, LLC","ID.ME, LLC",not_reviewed,0,0,
"INDEED, INC.","INDEED, INC.",not_reviewed,0,0,
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,not_reviewed,0,0,
INDIANA CHAMBER OF COMMERCE INC,INDIANA CHAMBER OF COMMERCE INC,not_reviewed,0,0,
INFIN A FINANCIAL SERVICES ALLIANCE,INFIN A FINANCIAL SERVICES ALLIANCE,not_reviewed,0,0,
INFORMATION TECHNOLOGY INDUSTRY COUNCIL,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,rejected_too_generic,0,0,
INFORMATION TECHNOLOGY INDUSTRY COUNCIL,INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI),rejected_too_generic,0,0,
"INMARKET MEDIA, LLC","INMARKET MEDIA, LLC",not_reviewed,0,0,
INTEL CORPORATION,INTEL CORPORATION,reviewed,263,96,2026-03-18
INTERNATIONAL FRANCHISE ASSOCIATION,INTERNATIONAL FRANCHISE ASSOCIATION,rejected_too_generic,0,0,
INTERNATIONAL FRANCHISE ASSOCIATION,INTERNATIONAL FRANCHISE ASSOCIATION (IFA),rejected_too_generic,0,0,
INTERPUBLIC GROUP,INTERPUBLIC GROUP,not_reviewed,0,0,
INTUIT,"INTUIT, INC. AND AFFILIATES",not_reviewed,0,0,
INTUIT,"INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)",not_reviewed,0,0,
INTUIT,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",reviewed,28,14,2026-02-26
INVITAE INC.,INVITAE INC.,reviewed,4,3,2024-03-29
IQVIA,IQVIA,reviewed,2,1,2024-01-18
IRON MOUNTAIN,IRON MOUNTAIN,not_reviewed,0,0,
IVANTI,IVANTI,reviewed,1,1,2024-07-03
"JM FAMILY ENTERPRISES, INC","JM FAMILY ENTERPRISES, INC",reviewed,0,0,
JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATIONS,JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATIONS,not_reviewed,0,0,
"KOCH GOVERNMENT AFFAIRS, LLC","KOCH GOVERNMENT AFFAIRS, LLC",reviewed,41,29,2026-03-27
KOHLER CO.,KOHLER CO.,reviewed,7,5,2026-03-06
KROGER CO,KROGER CO,not_reviewed,0,0,
LIBERTY MUTUAL GROUP,LIBERTY MUTUAL GROUP,not_reviewed,0,0,
LIBERTY MUTUAL GROUP,LIBERTY MUTUAL GROUP INC.,reviewed,4,4,2025-05-18
LINCOLN NATIONAL CORPORATION,LINCOLN NATIONAL CORPORATION,not_reviewed,0,0,
LINKEDIN CORPORATION,LINKEDIN CORPORATION,reviewed,22,19,2026-03-17
LIVERAMP,LIVERAMP HOLDINGS INC.,reviewed,0,0,
LIVERAMP,"LIVERAMP, INC.",reviewed,0,0,
LOWE'S COMPANIES INC.,LOWE'S COMPANIES INC.,not_reviewed,0,0,
LUMEN TECHNOLOGIES,"LUMEN TECHNOLOGIES, INC.",not_reviewed,0,0,
LUMEN TECHNOLOGIES,"LUMEN TECHNOLOGIES, INC. (FORMERLY CENTURYLINK, INC.)",not_reviewed,0,0,
"LYTX, INC.","LYTX, INC.",not_reviewed,0,0,
MAJOR CITIES CHIEFS ASSOCIATION,MAJOR CITIES CHIEFS ASSOCIATION,not_reviewed,0,0,
MAJOR COUNTY SHERIFFS OF AMERICA (FORMERLY MAJOR COUNTY SHERIFFS' ASSOCIATION),MAJOR COUNTY SHERIFFS OF AMERICA (FORMERLY MAJOR COUNTY SHERIFFS' ASSOCIATION),not_reviewed,0,0,
MAPLEBEAR INC. D/B/A INSTACART,MAPLEBEAR INC. D/B/A INSTACART,reviewed,8,7,2026-02-10
"MARS, INCORPORATED","MARS, INCORPORATED",rejected_too_generic,0,0,
MARSH MCLENNAN,MARSH MCLENNAN,reviewed,8,4,2025-12-05
MATCH GROUP,MATCH GROUP,not_reviewed,0,0,
MATCH GROUP,"MATCH GROUP, INC.",not_reviewed,0,0,
MATCH GROUP,"MATCH GROUP, LLC",rejected_too_generic,0,0,
MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,reviewed,33,24,2026-03-31
"MCGRAW HILL, LLC","MCGRAW HILL, LLC",not_reviewed,0,0,
MCGRAW-HILL EDUCATION,MCGRAW-HILL EDUCATION,reviewed,1,1,2024-04-19
MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,not_reviewed,0,0,
MEDTRONIC,MEDTRONIC INC,not_reviewed,0,0,
MEDTRONIC,"MEDTRONIC, INC.",reviewed,0,0,
"MERCARI, INC.","MERCARI, INC.",not_reviewed,0,0,
MERCEDES-BENZ USA (FKA DAIMLER/MERCEDES-BENZ USA,MERCEDES-BENZ USA (FKA DAIMLER/MERCEDES-BENZ USA,not_reviewed,0,0,
META PLATFORMS,"META PLATFORMS, INC.",not_reviewed,0,0,
MICHELIN NORTH AMERICA INC,MICHELIN NORTH AMERICA INC,not_reviewed,0,0,
MICROSOFT CORPORATION,MICROSOFT CORPORATION,reviewed,195,108,2026-03-28
MORGAN STANLEY & CO LLC,MORGAN STANLEY & CO LLC,not_reviewed,0,0,
MORTGAGE BANKERS ASSOCIATION,MORTGAGE BANKERS ASSOCIATION,not_reviewed,0,0,
MOSAIK SOLUTIONS LLC (NOW DBA OOKLA),MOSAIK SOLUTIONS LLC (NOW DBA OOKLA),not_reviewed,0,0,
MOTION PICTURE ASSOCIATION INC,MOTION PICTURE ASSOCIATION INC,not_reviewed,0,0,
MOTOROLA SOLUTIONS INC,MOTOROLA SOLUTIONS INC,not_reviewed,0,0,
MOVEON.ORG CIVIC ACTION,MOVEON.ORG CIVIC ACTION,not_reviewed,0,0,
MOZILLA CORPORATION,MOZILLA CORPORATION,not_reviewed,0,0,
MUTUAL OF OMAHA,MUTUAL OF OMAHA,not_reviewed,0,0,
NATIONAL ASSOCIATION OF ASSISTANT UNITED STATES ATTORNEYS,NATIONAL ASSOCIATION OF ASSISTANT UNITED STATES ATTORNEYS,not_reviewed,0,0,
NATIONAL ASSOCIATION OF CONVENIENCE STORES,NATIONAL ASSOCIATION OF CONVENIENCE STORES,rejected_too_generic,0,0,
"NATIONAL ASSOCIATION OF INDEPENDENT SCHOOLS, INC.","NATIONAL ASSOCIATION OF INDEPENDENT SCHOOLS, INC.",not_reviewed,0,0,
NATIONAL ASSOCIATION OF MANUFACTURERS,NATIONAL ASSOCIATION OF MANUFACTURERS,not_reviewed,0,0,
NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,rejected_too_generic,0,0,
"NATIONAL ASSOCIATION OF POLICE ORGANIZATIONS, INC.","NATIONAL ASSOCIATION OF POLICE ORGANIZATIONS, INC.",not_reviewed,0,0,
NATIONAL ASSOCIATION OF PROFESSIONAL INSURANCE AGENTS,NATIONAL ASSOCIATION OF PROFESSIONAL INSURANCE AGENTS,not_reviewed,0,0,
NATIONAL ASSOCIATION OF REALTORS,NATIONAL ASSOCIATION OF REALTORS,rejected_too_generic,0,0,
NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY,NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY,not_reviewed,0,0,
NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,reviewed,34,17,2025-12-02
NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN,NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN,not_reviewed,0,0,
NATIONAL FAIR HOUSING ALLIANCE,NATIONAL FAIR HOUSING ALLIANCE,not_reviewed,0,0,
NATIONAL FUSION CENTER ASSOCIATION,NATIONAL FUSION CENTER ASSOCIATION,not_reviewed,0,0,
NATIONAL GROCERS ASSOCIATION,NATIONAL GROCERS ASSOCIATION,rejected_too_generic,0,0,
NATIONAL INSURANCE CRIME BUREAU,NATIONAL INSURANCE CRIME BUREAU,not_reviewed,0,0,
NATIONAL MULTIFAMILY HOUSING COUNCIL INC,NATIONAL MULTIFAMILY HOUSING COUNCIL INC,not_reviewed,0,0,
NATIONAL RESTAURANT ASSOCIATION,NATIONAL RESTAURANT ASSOCIATION,rejected_too_generic,0,0,
NATIONAL RETAIL FEDERATION,NATIONAL RETAIL FEDERATION,reviewed,105,47,2026-03-05
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),not_reviewed,0,0,
NATIONAL TAXPAYERS UNION,NATIONAL TAXPAYERS UNION,not_reviewed,0,0,
NCR ATLEOS,NCR ATLEOS,not_reviewed,0,0,
NCTA - THE INTERNET & TELEVISION ASSOCIATION,NCTA - THE INTERNET & TELEVISION ASSOCIATION,reviewed,15,5,2024-05-06
NCTA - THE INTERNET & TELEVISION ASSOCIATION,NCTA-THE INTERNET & TELEVISION ASSOCIATION,reviewed,34,17,2025-12-02
NEC CORPORATION OF AMERICA,NEC CORPORATION OF AMERICA,reviewed,39,28,2026-02-24
"NETFLIX, INC.","NETFLIX, INC.",reviewed,50,28,2026-03-23
NETWORK ADVERTISING INITIATIVE,NETWORK ADVERTISING INITIATIVE,not_reviewed,0,0,
NEW YORK LIFE INSURANCE COMPANY,NEW YORK LIFE INSURANCE COMPANY,reviewed,3,3,2025-08-14
NEWS CORPORATION,NEWS CORPORATION,rejected_too_generic,0,0,
NEWS/MEDIA ALLIANCE,NEWS MEDIA ALLIANCE,rejected_too_generic,0,0,
NEWS/MEDIA ALLIANCE,NEWS/MEDIA ALLIANCE,rejected_too_generic,0,0,
NEXTDOOR,NEXTDOOR,not_reviewed,0,0,
