client_name,filing_year,issue_code,description
ELECTRONIC PAYMENTS COALITION,2022,BAN,"General issues related to the payment system and related issues impacting financial institutions. Specific issues included: repeal of the Durbin debit card interchange price controls; and draft interchange, privacy, data security, cybersecurity, and breach notice proposals, including in the context of SEC rulemaking, and including the American Data Privacy and Protection Act (H.R. 8152), issues related to scope, timing, preemption and functional regulation."
ELECTRONIC PAYMENTS COALITION,2022,BAN,"General issues related to the payment system and related issues impacting financial institutions. Specific issues included: repeal of the Durbin debit card interchange price controls; and draft interchange, privacy, data security, cybersecurity, and breach notice proposals, including in the context of SEC rulemaking, and including the American Data Privacy and Protection Act (H.R. 8152), issues related to scope, timing, preemption and functional regulation, and the ""National Defense Authorization Act of 2023"" (HR 7900), issues impacting the payment system."
ELECTRONIC PAYMENTS COALITION,2022,BAN,"General issues related to the payment system and related issues impacting financial institutions. Specific issues included: debit and credit card interchange price control proposals, including in the context of the Appropriations process and the ""National Defense Authorization Act of 2023"" (HR 7900); and draft privacy, data security, cybersecurity, and breach notice proposals, including in the context of SEC rulemaking, and including the American Data Privacy and Protection Act (H.R. 8152), issues related to scope, timing, preemption and functional regulation."
ELECTRONIC PAYMENTS COALITION,2023,BAN,"General issues related to the payment system and related issues impacting financial institutions. Specific issues included: debit and credit card interchange price control proposals, including in the context of the Appropriations process; and draft privacy, data security, cybersecurity, and breach notice proposals, including in the context of SEC rulemaking, and including the American Data Privacy and Protection Act, and the Data Privacy Act (McHenry)(HR 1165), issues related to scope, timing, preemption and functional regulation."
EPIC SYSTEMS CORPORATION,2022,SCI,"Issues related to Health IT, Technology Policy. Vaccine administration and public health reporting. American Data Privacy & Protection Act. Regulation of electronic physician and provider health care decision support tools."
EPIC SYSTEMS CORPORATION,2022,SCI,"Issues related to Health IT, Technology Policy. Vaccine administration and public health reporting. American Data Privacy & Protection Act. Regulation of electronic physician and provider health care decision support tools."
"EVENTBRITE, INC.",2023,CSP,"Support efforts to enact comprehensive live event ticketing reform (S. 3457, HR 3950); monitor online privacy, including the American Data Privacy and Protection Act; educate Members of Congress on the platforms content moderation policies and how content moderation proposals impact midsize online marketplaces; educate policymakers regarding the companys ticketing policies and the consumer impacts of ticketing reform proposals."
"EVENTBRITE, INC.",2023,CSP,"Support efforts to enact comprehensive live event ticketing reform, including, S.3457, Fans First Act and H.R.3950, TICKET Act; monitor online privacy, including the American Data Privacy and Protection Act; educate Members of Congress on the platforms content moderation policies and how content moderation proposals impact midsize online marketplaces; educate policymakers regarding the companys ticketing policies and the consumer impacts of ticketing reform proposals."
"EVENTBRITE, INC.",2024,TAX,"Monitor efforts to enact legislation impacting the ticketing industry; monitor policies impacting the company's ticketing policies and the consumer impacts of ticketing reform proposals; support the Fans First Act (S.3457) and the TICKET Act (H.R.3950); monitor online privacy, including the American Privacy Rights Act discussion draft."
HEALTH INNOVATION ALLIANCE,2024,HCR,"Issues related to health data privacy and security, patient access to data, real-time benefit tools, and clinical decision support software, including the American Privacy Rights Act; Issues related to health data interoperability, standards, information blocking, and the access, exchange, and use of health data; access to and coverage of telehealth services, including mental and behavioral health services, broadband access and infrastructure development, including the Telehealth Modernization Act (H.R. 7623); Issues related to the use of artificial intelligence in health care."
HEALTH INNOVATION ALLIANCE,2024,HCR,"Issues related to health data privacy and security, patient access to data, real-time benefit tools, and clinical decision support software, including the American Privacy Rights Act; Issues related to health data interoperability, standards, information blocking, and the access, exchange, and use of health data; access to and coverage of telehealth services, including mental and behavioral health services, broadband access and infrastructure development, including the Telehealth Modernization Act (H.R. 7623); Issues related to the use of artificial intelligence in health care."
HEALTH INNOVATION ALLIANCE,2024,HCR,"Issues related to health data privacy and security, patient access to data, real-time benefit tools, and clinical decision support software, including the American Privacy Rights Act; Issues related to health data interoperability, standards, information blocking, and the access, exchange, and use of health data; access to and coverage of telehealth services, including mental and behavioral health services, broadband access and infrastructure development, including the Telehealth Modernization Act (H.R. 7623); Issues related to the use of artificial intelligence in health care."
HEALTH INNOVATION ALLIANCE,2025,HCR,"Issues related to health data privacy and security, patient access to data, real-time benefit tools, and clinical decision support software, including the American Privacy Rights Act; Issues related to health data interoperability, standards, information blocking, and the access, exchange, and use of health data; access to and coverage of telehealth services, including mental and behavioral health services, broadband access and infrastructure development, including the Telehealth Modernization Act (H.R. 7623); Issues related to the use of artificial intelligence in health care."
"INTUIT, INC. AND AFFILIATES",2022,FIN,Support FINTECH innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy HR 8152 American Data Privacy and Protection Act
"INTUIT, INC. AND AFFILIATES",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,CPT,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,SCI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,CPT,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,SCI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,FIN,Support FINTECH innovation and consumer protections. Promote financial health and literacy for small businesses. Issues related to data privacy. H.R. 8152 American Data Privacy and Protection Act.
"INTUIT, INC. AND AFFILIATES",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection; Encourage innovation and support intellectual property protections; Promote data-driven innovation; Privacy Shield implementation; Issues related to data privacy; H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection; Encourage innovation and support intellectual property protections; Promote data-driven innovation; Issues related to data privacy; H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)",2022,FIN,"H.R 8152, American Data Privacy and Protection Act Support fintech innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy"
"INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)",2022,FIN,"H.R 8152, American Data Privacy and Protection Act Support fintech innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy"
"INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)",2022,FIN,"Discussions regarding executive branch nominations to federal agencies and commissions H.R. 8152, American Data Privacy and Protection Act Support fintech innovation and consumer protections Issues related to data privacy"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,FIN,Support FINTECH innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy H.R. 8152 - American Data Privacy and Protection Act
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,SCI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPT,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,SCI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPT,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 - American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,FIN,"Support FINTECH innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection; Encourage innovation and support intellectual property protections; Promote data-driven innovation; Privacy Shield implementation; Issues related to data privacy; H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection; Encourage innovation and support intellectual property protections; Promote data-driven innovation; Privacy Shield implementation; Issues related to data privacy; H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection; Encourage innovation and support intellectual property protections; Promote data-driven innovation; Issues related to data privacy; H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection; Encourage innovation and support intellectual property protections; Promote data-driven innovation; Issues related to data privacy; H.R. 8152, American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,FIN,Support FINTECH innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy HR 8152 American Data Privacy and Protection Act
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPT,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,SCI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Privacy Shield implementation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPT,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CPI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,CSP,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,SCI,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2022,TRD,"Enhance cybersecurity, promote privacy and consumer protection Encourage innovation and support intellectual property protections Promote data-driven innovation Issues related to data privacy HR 8152 American Data Privacy and Protection Act"
"MARS, INCORPORATED",2023,CSP,"Support for Data Privacy Legislation - H.R.8152 - American Data Privacy and Protection Act including definitions of ""covered entity"" and issues related to advertising and assessments; Support for funding of STEM programs."
MCGRAW-HILL EDUCATION,2022,EDU,"Issues related to higher education policy, including the College Transparency Act (H.R. 2030/S. 839), the Innovation Zone Act (S. 733), the FINISH Act (H.R. 1521/S. 518), the Jumpstart on College Act (H.R. 6585/S. 3639), Jumpstart Our Business by Supporting Students (JOBS) Act (H.R. 2037/S. 864), and the Remedial Education Improvement Act (H.R. 3950 - 116). Issues related to student data privacy, including the American Data Privacy and Protection Act (H.R. 8152)."
NATIONAL FUSION CENTER ASSOCIATION,2024,HOM,Fusion center support; information sharing; FY 2025 Department of Homeland Security appropriations; FEMA preparedness grants; Law Enforcement Terrorism Prevention Activities; investigative technology; impact of data privacy legislation on law enforcement investigations; digital evidence access issues; counter-unmanned aviation systems issues; security clearance issues for fusion center personnel; potential public safety implications of American Privacy Rights Act
NATIONAL FUSION CENTER ASSOCIATION,2024,LAW,"Support for fusion centers; threat information sharing issues; investigative technology; digital evidence access issues; impact of data privacy legislation on law enforcement investigations, potential public safety implications of American Privacy Rights Act"
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),2024,HCR,"Draft legislation regarding ERISA Preemption, telemedicine, rural health, group health plans, and flexible spending accounts Issues related to the American Privacy Rights Act"
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),2024,HCR,"Draft legislation regarding ERISA Preemption, telemedicine, rural health, group health plans, and flexible spending accounts Issues related to the American Privacy Rights Act"
REGIONS FINANCIAL CORP.,2023,BAN,"General issues related to reform of the Dodd-Frank Act, GSE reform and the future of housing finance, cybersecurity, data security, and privacy. Specific issues included: bank and bank holding company systemic regulation; draft privacy, data security, cybersecurity, and climate proposals, including in the context of SEC proposed rules, and including the American Data Privacy and Protection Act, and the Data Privacy Act (McHenry)(H.R. 1165), issues related to timing, preemption and functional regulation; and debit and credit card interchange proposals."
REGIONS FINANCIAL CORP.,2023,BAN,"General issues related to reform of the Dodd-Frank Act, GSE reform and the future of housing finance, cybersecurity, data security, and privacy. Specific issues included: bank and bank holding company systemic regulation and capital standards; draft privacy, data security, cybersecurity, and climate proposals, including in the context of SEC proposed rules, and including the American Data Privacy and Protection Act, and the Data Privacy Act of 2023 (McHenry)(H.R. 1165), issues related to timing, preemption and functional regulation; and debit and credit card interchange proposals."
SENTRY INSURANCE COMPANY,2024,CSP,All issues concerning the creation of new data privacy and security standards impacting the insurance industry H.R.1165 - Data Privacy Act of 2023 American Privacy Rights Act
SENTRY INSURANCE COMPANY,2024,CSP,All issues concerning the creation of new data privacy and security standards impacting the insurance industry H.R.1165 - Data Privacy Act of 2023 American Privacy Rights Act
SENTRY INSURANCE COMPANY,2024,CSP,All issues concerning the creation of new data privacy and security standards impacting the insurance industry H.R.1165 - Data Privacy Act of 2023 American Privacy Rights Act
"SIX CONTINENTS HOTELS, INC.",2024,TOU,"Support for travel and tourism to United States hotels and resorts. Issues related to delays in the application process for U.S. travel visas (B1/B2). Support for a Federal Global Sporting Events Task Force. General discussion about the franchise rule and the preservation of the franchise business model. Legislation regarding hotel and booking fees, including the Hotel Fees Transparency Act of 2023 (S. 2498 and H.R. 6543). Issues related to the American Privacy Rights Act (H.R.8818), including treatment of hotel franchisees, franchisors, and data management."
SOFTWARE & INFORMATION INDUSTRY ASSOCIATION,2023,EDU,"Kids Online Safety Act--support clarity of FERPA's application and interaction with COPPA Children and Teens Online Privacy Protection Act--concerned about relationship to consent requirements in COPPA KIDS PRIVCY Act (getting re-introduced as KIDS PRIVACY Act)--concerned about overbroad consent requirements ADPPA-opposed because of concerns over the First Amendment, preemption, AI, and private rights of action COPPA--concerned about overbroad regulation Parents Bill of Rights Act (H.R. 4)--concerned about effect of mandatory internet publication of certain copyright-protected works"
SPOTIFY,2023,ADV,issues related to online data use and privacy and ad-supported business models and the American Data Privacy Protection Act (ADPPA)
SPOTIFY,2023,ADV,issues related to online data use and privacy and ad-supported business models and the American Data Privacy Protection Act (ADPPA)
SPOTIFY,2023,ADV,issues related to online data use and privacy and ad-supported business models and the American Data Privacy Protection Act (ADPPA)
SPOTIFY,2024,ADV,issues related to online data use and privacy and ad-supported business models and the American Data Privacy Protection Act (ADPPA)
SPOTIFY,2024,ADV,issues related to online data use and privacy and ad-supported business models and the American Privacy Rights Act (HR 8818)
SPOTIFY,2024,ADV,issues related to online data use and privacy and ad-supported business models and the American Privacy Rights Act (HR 8818)
SPOTIFY,2024,ADV,issues related to online data use and privacy and ad-supported business models and the American Privacy Rights Act (HR 8818)
"TD BANK, NA",2022,BAN,"General issues related to the operation of the Dodd-Frank Act, GSE reform and the future of housing finance, cybersecurity, data security, digital currency regulation, credit and debit interchange, and privacy. Specific issues included: draft privacy, data security, cybersecurity, climate, and interchange proposals, including in the context of SEC proposed rules, and including the American Data Privacy and Protection Act (H.R. 8152), issues related to preemption and functional regulation; and debit and credit card interchange proposals."
"TD BANK, NA",2022,BAN,"General issues related to the operation of the Dodd-Frank Act, GSE reform and the future of housing finance, cybersecurity, data security, digital currency regulation, credit and debit interchange, and privacy. Specific issues included: draft privacy, data security, cybersecurity, climate, and interchange proposals, including in the context of SEC proposed rules, and including the American Data Privacy and Protection Act (H.R. 8152), issues related to preemption and functional regulation; and debit and credit card interchange proposals."
