quarter_label,filing_year,filing_period,client_name,classification
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,COMCAST CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,UNITED STATES TELECOM ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL MULTIFAMILY HOUSING COUNCIL INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN PUBLIC EDUCATION INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,MOTOROLA SOLUTIONS INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TWILIO INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,REINSURANCE ASSN OF AMERICA,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,UNISYS CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ALIBABA GROUP HOLDING LIMITED,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,DOMINO'S NATIONAL ADVERTISING FUND INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"DIRECTV, LLC",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"MARS, INCORPORATED",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CREDIT KARMA AN INTUIT AFFILIATE,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN LAND TITLE ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,UNIVERSITY OF PHOENIX,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AVENTIV TECHNOLOGIES LLC AND VARIOUS SUBSIDIARIES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,DAPPER LABS INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"DROPBOX, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,SENTRY INSURANCE COMPANY (FORMERLY SENTRY INSURANCE A MUTUAL COMPANY),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,SPACE EXPLORATION TECHNOLOGIES CORP.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CAPITAL ONE FINANCIAL CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL ASSOCIATION OF MANUFACTURERS,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"TOYOTA MOTOR NORTH AMERICA, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"KOCH GOVERNMENT AFFAIRS, LLC",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,MARSH MCLENNAN,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,MORGAN STANLEY & CO LLC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ACXIOM LLC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,LIVERAMP HOLDINGS INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"NPR, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TARGET CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,THE BUSINESS ROUNDTABLE,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,MICROSOFT CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TECHNET,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,EDISON ELECTRIC INSTITUTE,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,EPIC SYSTEMS CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TRANSAMERICA COMPANIES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TRANS UNION LLC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"VISA, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,THE PROCTER AND GAMBLE COMPANY,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TOYOTA MOTOR NORTH AMERICA INC (TMA),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN ASSOCIATION FOR JUSTICE,non_industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,INTERNATIONAL FRANCHISE ASSOCIATION (IFA),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,REINSURANCE ASSOCIATION OF AMERICA,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"INDEED, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CMS ENERGY CORP,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN)",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"ONFIDO, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"RAPID7, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TIKTOK INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,WELLS FARGO & COMPANY,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ENTERGY SERVICES LLC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,LINKEDIN CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"QVC GROUP, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NCTA - THE INTERNET & TELEVISION ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"SALESFORCE, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN BANKERS ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,RETAIL INDUSTRY LEADERS ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMAZON.COM SERVICES LLC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL GROCERS ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CONSUMER TECHNOLOGY ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,HP INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"T-MOBILE USA, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ANCESTRY,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,KROGER CO,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL RETAIL FEDERATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"LYTX, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,DOW CHEMICAL COMPANY DBA DOW,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ATLAS CROSSING LLC ON BEHALF OF NATIONAL ASSOCIATION OF CONVENIENCE STORES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,GOOGLE CLIENT SERVICES LLC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,YUM! BRANDS INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,UNITED SERVICES AUTOMOBILE ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL ASSOCIATION OF CONVENIENCE STORES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"FOUNDATION MEDICINE, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,HONEYWELL INTERNATIONAL,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN PUBLIC POWER ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"LUMEN TECHNOLOGIES, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,UNIDOSUS,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"YAHOO INC, AND VAR. SUBS/AFFILIATES (FKA COLLEGE PARENT, L.P. DBA ""YAHOO"")",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,SOFTWARE & INFORMATION INDUSTRY ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,PORTLAND GENERAL ELECTRIC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,YAHOO INC. AND VAR. SUBS/AFFILIATES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,APPLE INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,BUSINESS ROUNDTABLE INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NETWORK ADVERTISING INITIATIVE,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,FOOD MARKETPLACE INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN BAR ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"SB GROUP US, INC. DBA SOFTBANK GROUP US, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CORNERSTONE GOVERNMENT AFFAIRS OBO TARGET CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,RIIID LABS INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"CONSTELLATION ENERGY GENERATION, LLC",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CONSUMER DATA INDUSTRY ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,VERIZON COMMUNICATIONS INC AND ITS SUBSIDIARIES,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"TWITTER, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,FEDEX CORPORATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ELECTRONIC PAYMENTS COALITION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"BSA, THE SOFTWARE ALLIANCE",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"AURA SUB, LLC",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,SAP AMERICA INC.,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NCR ATLEOS,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,ALLSTATE INSURANCE COMPANY,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,BOYS & GIRLS CLUBS OF AMERICA,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,RETAIL INDUSTRY LEADERS ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NATIONAL GROCERS ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"GARMIN INTERNATIONAL, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"ID.ME, LLC",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,THRIVENT FINANCIAL FOR LUTHERANS,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,DIRECTV,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,CONSUMER TECHNOLOGY ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NEC CORPORATION OF AMERICA,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,REINSURANCE ASSOCIATION OF AMERICA,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,AMERICAN BANKERS ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"VERIZON COMMUNICATIONS, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,TNC (US) HOLDINGS INC,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,APPLE INC.,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NATIONAL RETAIL FEDERATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,SHOPIFY INC.,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"MERCARI, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NATIONAL FUSION CENTER ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"DEMAND PROGRESS ACTION, INC",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"EVENTBRITE, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"QVC GROUP, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"DIRECTV, LLC",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,INTERPUBLIC GROUP,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS),industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"DROPBOX, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NEW YORK LIFE INSURANCE COMPANY,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,MUTUAL OF OMAHA,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,THE BUSINESS ROUNDTABLE,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,NEWS CORPORATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"YAHOO INC, AND VAR. SUBS/AFFILIATES (FKA COLLEGE PARENT, L.P. DBA ""YAHOO"")",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"ETSY, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,SPOTIFY,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,MOTION PICTURE ASSOCIATION INC,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,AMERICAN HEART ASSOCIATION,non_industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,AMAZON.COM SERVICES LLC,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"AMAZON.COM SERVICES, INC.",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,YAHOO INC. AND VAR. SUBS/AFFILIATES,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"DISCOVERY COMMUNICATIONS, LLC",industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,CTIA - THE WIRELESS ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,ENTERTAINMENT SOFTWARE ASSOCIATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,RELX INC.,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,REINSURANCE ASSN OF AMERICA,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,COMCAST CORPORATION,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,IRON MOUNTAIN,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,HONEYWELL INTERNATIONAL,industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,DAVID'S LEGACY FOUNDATION,non_industry
Q1 2024 (pre-APRA baseline),2024,first_quarter,"BSA, THE SOFTWARE ALLIANCE",industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,MOSAIK SOLUTIONS LLC (NOW DBA OOKLA),industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,SECURITY INDUSTRY ASSOCIATION,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,TECHNOLOGY NETWORK AKA TECHNET,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,"SOCURE, INC.",industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,THE NONPROFIT ALLIANCE,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,THRIVENT FINANCIAL FOR LUTHERANS,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,NATIONAL FUSION CENTER ASSOCIATION,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,ASSOCIATION OF STATE CRIMINAL INVESTIGATIVE AGENCIES,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,"BLOCKCHAINS, INC.",industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,DIGITAL CONTENT NEXT,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,WORLDWIDE ERC,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,SAP AMERICA INC.,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,NCTA - THE INTERNET & TELEVISION ASSOCIATION,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,SNAP INC.,industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,DAVID'S LEGACY FOUNDATION,non_industry
"Q2 2024 (APRA draft 04-08, introduced 06-25, markup canceled 06-27)",2024,second_quarter,"NOVA LABS, INC.",industry
