pair,score,n_mentions,n_contribs,member,party,state,chamber,is_current,first_contrib,last_contrib,first_mention,last_mention,sample_url,entity_id,bioguide
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Angus S. King, Jr.",35000.0,2,8,"Angus S. King, Jr.",Independent,ME,sen,1,2022-06-01,2025-12-01,2023-08-10,2023-11-11,https://www.king.senate.gov/newsroom/press-releases/king-the-coast-guard-is-the-territory-of-the-brave,757,K000383
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Katie Boyd Britt",33500.0,2,8,Katie Boyd Britt,Republican,AL,sen,1,2022-03-10,2025-12-30,2025-10-22,2026-02-13,https://www.britt.senate.gov/news/press-releases/u-s-senators-katie-britt-tim-scott-john-kennedy-seek-modernization-to-law-targeting-illicit-financial-activity/,644,B001319
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Salud O. Carbajal,33000.0,6,12,Salud O. Carbajal,Democrat,CA,rep,1,2022-04-08,2025-11-11,2022-04-29,2023-04-19,https://carbajal.house.gov/news/documentsingle.aspx?DocumentID=1436,1550,C001112
GENERAL DYNAMICS CORPORATION -> Jack Reed,32000.0,11,13,Jack Reed,Democrat,RI,sen,1,2022-02-23,2025-12-11,2023-06-06,2026-03-22,https://www.reed.senate.gov/news/releases/senedia-awarded-follow-on-contractfor-workforce-development,919,R000122
NATIONAL BUSINESS AVIATION ASSOCIATION INC -> Rick Larsen,32000.0,2,18,Rick Larsen,Democrat,WA,rep,1,2022-03-01,2025-12-09,2022-04-28,2022-06-13,https://larsen.house.gov/news/documentsingle.aspx?DocumentID=2667,1390,L000560
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Tim Kaine",31500.0,5,11,Tim Kaine,Democrat,VA,sen,1,2022-05-20,2025-09-18,2024-02-06,2025-04-30,https://www.kaine.senate.gov/press-releases/kaine-statement-on-vote-to-pass-national-security-supplemental,1035,K000384
"T-MOBILE USA, INC. -> Doris O. Matsui",31500.0,9,11,Doris O. Matsui,Democrat,CA,rep,1,2022-06-23,2025-12-04,2022-10-27,2023-12-05,https://matsui.house.gov/media/press-releases/matsui-opening-remarks-communications-and-technology-subcommittee-hearing-fcc,1951,M001163
UNION PACIFIC CORPORATION -> Deb Fischer,31500.0,2,11,Deb Fischer,Republican,NE,sen,1,2022-01-27,2025-03-10,2025-07-29,2025-12-19,https://www.fischer.senate.gov/public/index.cfm/news?ID=FFB95124-F789-4360-8B8E-249CA251CBF6,2136,F000463
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Jack Reed",31000.0,5,11,Jack Reed,Democrat,RI,sen,1,2022-03-17,2025-12-11,2024-04-24,2026-03-22,https://www.reed.senate.gov/news/releases/reed-new-184b-navy-submarine-contract-to-boost-ri-workforce-and-help-safeguard-the-nation,1035,R000122
NORTHROP GRUMMAN CORPORATION -> Ted Lieu,31000.0,2,11,Ted Lieu,Democrat,CA,rep,1,2022-05-24,2025-05-20,2022-03-14,2022-07-13,https://lieu.house.gov/media-center/press-releases/rep-lieu-praises-first-images-james-webb-space-telescope,1485,L000582
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Yvette D. Clarke,31000.0,7,9,Yvette D. Clarke,Democrat,NY,rep,1,2022-06-17,2025-11-20,2024-04-08,2024-05-01,https://clarke.house.gov/rep-clarke-and-senator-welch-issue-statement-following-fcc-warning-nationwide-impact-of-final-month-for-acp/,2194,C001067
BERKSHIRE HATHAWAY ENERGY -> John R. Curtis,30000.0,3,12,John R. Curtis,Republican,UT,sen,1,2022-03-24,2025-07-31,2025-04-18,2025-09-25,https://www.curtis.senate.gov/press-releases/what-they-are-saying-dozens-of-leaders-applaud-fix-our-forests-act,362,C001114
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Tom Emmer",30000.0,2,6,Tom Emmer,Republican,MN,rep,1,2022-02-10,2025-02-28,2025-03-06,2025-07-17,https://emmer.house.gov/media-center/press-releases/majority-whip-tom-emmer-s-flagship-legislation-the-anti-cbdc-surveillance-state-act-passes-house-of-representatives,644,E000294
GENERAL DYNAMICS CORPORATION -> Seth Magaziner,30000.0,2,16,Seth Magaziner,Democrat,RI,rep,1,2022-09-27,2025-12-11,2023-07-12,2023-09-13,https://magaziner.house.gov/media/press-releases/rep-magaziner-urges-continued-investment-americas-submarine-fleet-house-floor,919,M001223
"MICROSOFT CORPORATION -> Angus S. King, Jr.",30000.0,3,8,"Angus S. King, Jr.",Independent,ME,sen,1,2022-09-19,2025-12-08,2024-02-16,2024-07-30,https://www.king.senate.gov/newsroom/press-releases/senators-collins-king-join-bipartisan-bill-supporting-kids-online-safety-act,1318,K000383
NATIONAL ASSOCIATION OF BROADCASTERS -> John Barrasso,30000.0,2,6,John Barrasso,Republican,WY,sen,1,2022-07-06,2025-12-22,2023-03-09,2025-03-04,https://www.barrasso.senate.gov/newsroom-news-releases-barrasso-hassan-introduce-the-bipartisan-local-radio-freedom-act/,1368,B001261
NATIONAL ASSOCIATION OF BROADCASTERS -> Doris O. Matsui,30000.0,3,6,Doris O. Matsui,Democrat,CA,rep,1,2022-09-20,2025-06-25,2023-07-28,2023-09-14,https://matsui.house.gov/media/in-the-news/streamtv-insider-lawmakers-express-frustration-over-blackouts-fee-hikes-during,1368,M001163
NATIONAL THOROUGHBRED RACING ASSOCIATION -> Andy Barr,30000.0,6,7,Andy Barr,Republican,KY,rep,1,2022-07-14,2024-09-14,2023-04-27,2025-07-25,https://barr.house.gov/press-releases?ID=DCDB29E4-327E-4E14-85A5-165DCCA70871,1429,B001282
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Ted Cruz,30000.0,4,2,Ted Cruz,Republican,TX,sen,1,2025-03-28,2025-09-19,2023-05-16,2025-04-16,https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-we-must-maintain-us-space-leadership-as-china-and-other-countries-seek-to-supplant-us,1895,C001098
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Tammy Baldwin",30000.0,6,6,Tammy Baldwin,Democrat,WI,sen,1,2022-03-17,2025-08-21,2022-12-09,2026-02-13,https://www.baldwin.senate.gov/news/press-releases/senators-baldwin-duckworth-lead-bill-to-ensure-seat-size-other-real-life-conditions-are-considered-in-federal-aircraft-emergency-evacuation-standards,2088,B001230
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Robert Menendez",30000.0,3,9,Robert Menendez,Democrat,NJ,rep,1,2022-05-11,2024-01-30,2023-06-12,2026-01-27,https://menendez.house.gov/media/press-releases/reps-menendez-garbarino-and-garamendi-introduce-airline-employee-assault,2088,M001226
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Donald Norcross",30000.0,3,6,Donald Norcross,Democrat,NJ,rep,1,2022-07-27,2025-06-29,2022-07-20,2025-09-16,https://norcross.house.gov/press-releases?ID=F4766C5C-F0F1-4A43-B984-A491108E09CF,2088,N000188
AMERICAN OPTOMETRIC ASSOCIATION -> Kevin Cramer,29500.0,2,7,Kevin Cramer,Republican,ND,sen,1,2022-08-23,2025-09-25,2024-12-13,2025-05-12,https://www.cramer.senate.gov/news/press-releases/cramer-murphy-introduce-legislation-to-improve-vision-care-quality-protect-consumer-choice,201,C001096
NATIONAL ASSOCIATION OF BROADCASTERS -> Ted Cruz,29500.0,4,10,Ted Cruz,Republican,TX,sen,1,2022-09-29,2025-12-29,2022-09-22,2023-07-27,https://www.cruz.senate.gov/newsroom/press-releases/sens-cruz-and-markey-send-bipartisan-letter-urging-automakers-to-keep-am-radio-in-vehicles,1368,C001098
GENERAL DYNAMICS CORPORATION -> Mazie K. Hirono,29000.0,2,11,Mazie K. Hirono,Democrat,HI,sen,1,2022-02-22,2025-02-24,2023-02-22,2023-03-10,https://www.hirono.senate.gov/news/press-releases/photos-and-video-hirono-tours-general-dynamics-hsi-electric-boat-facility,919,H001042
NATIONAL ASSOCIATION OF BROADCASTERS -> Margaret Wood Hassan,28750.0,2,10,Margaret Wood Hassan,Democrat,NH,sen,1,2022-06-27,2025-12-31,2023-03-09,2023-10-20,https://www.hassan.senate.gov/news/press-releases/shaheen-hassan-join-group-of-senators-to-urge-fcc-to-improve-access-to-local-journalism,1368,H001076
"BAE SYSTEMS, INC. -> Scott H. Peters",28500.0,3,12,Scott H. Peters,Democrat,CA,rep,1,2022-01-26,2025-09-25,2023-07-10,2024-04-17,https://scottpeters.house.gov/press-releases/rep-peters-secures-san-diego-defense-priorities-votes-for-national-defense-authorization-act,327,P000608
ELI LILLY AND COMPANY -> Tim Kaine,28500.0,2,10,Tim Kaine,Democrat,VA,sen,1,2022-03-29,2025-12-01,2024-01-02,2025-09-16,https://www.kaine.senate.gov/press-releases/warner-and-kaine-applaud-35-monthly-insulin-caps-by-largest-insulin-manufacturers-following-inflation-reduction-act-implementation,759,K000384
MICROSOFT CORPORATION -> Mark R. Warner,28500.0,14,7,Mark R. Warner,Democrat,VA,sen,1,2022-03-29,2025-04-07,2022-05-25,2026-03-25,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=E4C382BD-E6B4-4330-84A5-5382791B8FC8,1318,W000805
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Marsha Blackburn,28000.0,3,8,Marsha Blackburn,Republican,TN,sen,1,2022-03-25,2025-05-29,2025-10-10,2026-02-12,https://www.blackburn.senate.gov/2026/2/immigration/video-blackburn-calls-out-democrats-for-siding-with-criminal-illegal-aliens-recaps-arctic-frost-hearing,2194,B001243
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Ronny Jackson,27900.0,2,6,Ronny Jackson,Republican,TX,rep,1,2022-02-10,2024-09-03,2022-03-31,2024-03-29,https://jackson.house.gov/news/documentsingle.aspx?DocumentID=976,194,J000304
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Kevin Cramer",27500.0,2,7,Kevin Cramer,Republican,ND,sen,1,2022-07-18,2025-12-15,2024-03-20,2024-04-09,https://www.cramer.senate.gov/news/press-releases/senators-introduce-resolution-of-disapproval-on-cfpb-credit-card-late-penalty-final-rule,644,C001096
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Tim Scott",27500.0,2,6,Tim Scott,Republican,SC,sen,1,2022-09-21,2025-12-30,2024-03-20,2025-07-29,https://www.scott.senate.gov/media-center/press-releases/sens-scott-kennedy-introduce-bill-to-stop-biden-admins-big-government-lending-scheme/,644,S001184
"HUMANA, INC. -> Richard E. Neal",27500.0,2,7,Richard E. Neal,Democrat,MA,rep,1,2022-07-21,2025-03-17,2023-04-13,2025-07-17,https://neal.house.gov/2025/07/17/neal-democratic-health-leaders-urge-insurers-to-cover-vaccines/,1030,N000015
MICROSOFT CORPORATION -> Jeanne Shaheen,27500.0,2,6,Jeanne Shaheen,Democrat,NH,sen,1,2022-03-29,2025-08-28,2024-08-09,2024-12-03,https://www.shaheen.senate.gov/news/press/shaheen-scott-call-on-big-tech-ceos-to-adopt-programs-cracking-down-on-the-spread-of-non-consensual-intimate-imagery-on-online-platforms,1318,S001181
MICROSOFT CORPORATION -> Todd Young,27500.0,2,7,Todd Young,Republican,IN,sen,1,2022-05-31,2025-09-05,2024-02-15,2025-02-14,https://www.young.senate.gov/newsroom/press-releases/young-op-ed-a-tech-power-playbook-for-donald-trump-2-0/,1318,Y000064
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Maria Elvira Salazar,27100.0,2,7,Maria Elvira Salazar,Republican,FL,rep,1,2022-04-14,2024-09-24,2023-12-06,2023-12-06,https://salazar.house.gov/media/press-releases/salazar-introduces-legislation-address-antisemitism-united-states,194,S000168
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Bradley Scott Schneider,27100.0,3,8,Bradley Scott Schneider,Democrat,IL,rep,1,2022-02-10,2025-04-29,2022-01-10,2024-09-24,https://schneider.house.gov/media/press-releases/schneider-colleagues-launch-bipartisan-bicameral-abraham-accords-caucus,194,S001190
MICROSOFT CORPORATION -> Kevin Cramer,26000.0,2,6,Kevin Cramer,Republican,ND,sen,1,2022-09-29,2025-12-08,2024-12-09,2025-01-28,https://www.cramer.senate.gov/news/press-releases/cramer-questions-industry-executives-on-defense-innovation-and-acquisition-reform,1318,C001096
"AMAZON.COM SERVICES, INC. -> Jack Reed",25750.0,2,8,Jack Reed,Democrat,RI,sen,1,2022-03-23,2025-09-29,2025-05-29,2026-03-13,https://www.reed.senate.gov/news/releases/reed-warren-wyden-urge-investigation-to-determine-if-doge-employees-committed-criminal-violations-of-federal-ethics-laws,125,R000122
MICROSOFT CORPORATION -> Jerry Moran,25500.0,3,8,Jerry Moran,Republican,KS,sen,1,2022-05-22,2025-12-21,2023-11-02,2024-05-23,https://www.moran.senate.gov/public/index.cfm/news-releases?ID=EA14D5FF-EA37-4C75-87CE-218927D505F8,1318,M000934
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Brian K. Fitzpatrick,25000.0,4,6,Brian K. Fitzpatrick,Republican,PA,rep,1,2022-02-10,2025-04-22,2023-01-09,2024-08-20,https://fitzpatrick.house.gov/2024/8/fitzpatrick-colleagues-introduce-bipartisan-stand-with-israel-act-to-confront-bias,194,F000466
CAPITAL ONE FINANCIAL CORPORATION -> Tim Kaine,25000.0,4,5,Tim Kaine,Democrat,VA,sen,1,2022-06-18,2025-11-11,2023-11-08,2024-03-07,https://www.kaine.senate.gov/press-releases/warner-and-kaine-statement-on-gsas-fbi-relocation-decision,455,K000384
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Joyce Beatty",25000.0,2,8,Joyce Beatty,Democrat,OH,rep,1,2022-03-10,2025-12-15,2022-12-23,2025-06-05,https://beatty.house.gov/media-center/press-releases/partnering-for-prosperity-beatty-boosts-small-financial-institutions-nationwide,644,B001281
GENERAL MOTORS COMPANY -> Lisa C. McClain,25000.0,3,9,Lisa C. McClain,Republican,MI,rep,1,2022-03-04,2025-03-03,2024-12-11,2025-12-03,https://mcclain.house.gov/2025/6/chairwoman-mcclain-joins-gm-for-major-auto-manufacturing-investment-announcement,923,M001136
"L3HARRIS TECHNOLOGIES, INC. -> Jim Banks",25000.0,2,7,Jim Banks,Republican,IN,sen,1,2022-04-19,2025-03-28,2025-05-21,2025-11-13,https://www.banks.senate.gov/news/press-releases/wtas-sen-banks-hosts-4th-annual-northeast-indiana-defense-summit-featuring-secretary-of-war-hegseth/,1181,B001299
"L3HARRIS TECHNOLOGIES, INC. -> Charles E. Schumer",25000.0,4,5,Charles E. Schumer,Democrat,NY,sen,1,2022-03-26,2025-03-28,2022-01-28,2025-01-23,https://www.schumer.senate.gov/newsroom/press-releases/schumer-morelle-announce-rochesters-l3harris-secures-marine-corp-radio-contract-worth-up-to-750-million-lawmakers-fought-so-l3harris-could-compete-for-multi-billion-contracts-and-now-marines-recognize-world-class-rochester-workforce-and-company-as-leading-cutting-edge-radio-manufacturer-,1181,S000148
"L3HARRIS TECHNOLOGIES, INC. -> Jeanne Shaheen",25000.0,2,6,Jeanne Shaheen,Democrat,NH,sen,1,2022-03-26,2025-04-09,2024-08-06,2026-02-03,https://www.shaheen.senate.gov/news/press/senior-member-of-us-senate-appropriations-committee-senator-shaheen-highlights-significant-new-hampshire-and-national-priorities-secured-in-committee-passed-government-funding-bills,1181,S001181
MICROSOFT CORPORATION -> Mazie K. Hirono,25000.0,3,7,Mazie K. Hirono,Democrat,HI,sen,1,2022-03-29,2025-12-21,2023-09-13,2025-12-04,https://www.hirono.senate.gov/news/press-releases/video-hirono-highlights-spread-of-disinformation-by-foreign-entities-in-wake-of-maui-wildfires,1318,H001042
NORFOLK SOUTHERN CORPORATION -> Roger F. Wicker,25000.0,2,7,Roger F. Wicker,Republican,MS,sen,1,2022-07-05,2025-06-04,2024-08-27,2024-10-22,https://www.wicker.senate.gov/2024/8/senator-wicker-highlights-economic-importance-of-amtrak-returning-to-the-gulf-coast,1478,W000437
NORTHROP GRUMMAN CORPORATION -> Kevin Cramer,25000.0,3,8,Kevin Cramer,Republican,ND,sen,1,2022-07-20,2025-06-25,2023-09-12,2026-03-30,https://www.cramer.senate.gov/news/press-releases/sen-cramer-questions-general-allvin-on-isr-capabilities-at-sasc-confirmation-hearing,1485,C001096
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Maxwell Frost",25000.0,3,9,Maxwell Frost,Democrat,FL,rep,1,2022-07-27,2025-06-29,2024-05-23,2025-09-09,https://frost.house.gov/media/press-releases/congressman-maxwell-frost-unveils-legislation-to-deliver-faster-more-pleasant-and-reliable-public-transit-nationwide_the-faster-buses-better-futures-act,2088,F000476
WELLS FARGO & COMPANY -> Mark R. Warner,25000.0,2,8,Mark R. Warner,Democrat,VA,sen,1,2022-03-23,2025-09-24,2022-03-18,2023-06-08,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=46A32C16-6F56-4117-B129-84B7CFCFCE8A,2236,W000805
NUCOR CORPORATION -> Shelley Moore Capito,24732.9,7,7,Shelley Moore Capito,Republican,WV,sen,1,2022-03-31,2025-09-24,2023-10-20,2026-03-12,https://www.capito.senate.gov/news/press-releases/ranking-member-capito-opening-statement-at-hearing-with-us-army-corps-of-engineers-on-wrda-2024,1499,C001047
AMERICAN OPTOMETRIC ASSOCIATION -> John Boozman,24000.0,2,5,John Boozman,Republican,AR,sen,1,2022-03-08,2024-07-11,2024-04-09,2024-08-01,https://www.boozman.senate.gov/public/index.cfm/press-releases?ID=F3A027D5-8309-4C81-914D-AE520B11E633,201,B001236
BOEING COMPANY -> Chuck Grassley,24000.0,3,7,Chuck Grassley,Republican,IA,sen,1,2022-03-01,2025-03-24,2024-06-12,2025-09-17,https://www.grassley.senate.gov/news/news-releases/qanda-aviation-safety-must-come-first,406,G000386
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Scott Fitzgerald",24000.0,6,9,Scott Fitzgerald,Republican,WI,rep,1,2022-03-17,2025-02-28,2022-07-20,2025-06-26,https://fitzgerald.house.gov/media/press-releases/rep-fitzgeralds-halting-uncertain-methods-and-practices-supervision-humps-act,644,F000471
GENERAL MOTORS COMPANY -> Haley M. Stevens,24000.0,2,8,Haley M. Stevens,Democrat,MI,rep,1,2022-08-12,2025-03-10,2023-09-01,2025-07-24,https://stevens.house.gov/media/press-releases/us-representative-haley-stevens-d-mi-hosts-roundtable-industry-leaders-and,923,S001215
UNION PACIFIC CORPORATION -> Chuck Grassley,24000.0,2,7,Chuck Grassley,Republican,IA,sen,1,2022-03-04,2025-06-23,2025-01-10,2025-07-16,https://www.grassley.senate.gov/news/news-releases/iowa-to-receive-over-15-million-from-grassley-backed-infrastructure-bill,2136,G000386
BOEING COMPANY -> Jerry Moran,23500.0,9,11,Jerry Moran,Republican,KS,sen,1,2022-03-29,2025-05-27,2023-06-02,2026-02-20,https://www.moran.senate.gov/public/index.cfm/news-releases?ID=F5A59BFE-6D25-4E4A-93B3-A893EEC2DD02,406,M000934
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> John Barrasso",23500.0,2,7,John Barrasso,Republican,WY,sen,1,2023-03-14,2025-08-20,2023-09-07,2024-05-20,https://www.barrasso.senate.gov/newsroom-news-releases-barrasso-lummis-join-bill-to-repeal-unnecessary-tax-on-firearm-purchases/,1426,B001261
"PRUDENTIAL FINANCIAL, INC. -> Andy Barr",23500.0,3,7,Andy Barr,Republican,KY,rep,1,2022-02-10,2024-02-02,2023-01-12,2025-01-09,https://barr.house.gov/press-releases?ID=64C34D56-0091-43D9-BD29-67F2E1232488,1659,B001282
"BAE SYSTEMS, INC. -> Margaret Wood Hassan",23000.0,7,10,Margaret Wood Hassan,Democrat,NH,sen,1,2022-01-26,2025-11-25,2022-07-26,2023-12-13,https://www.hassan.senate.gov/news/press-releases/what-theyre-saying-nh-business-leaders-praise-senator-hassan-and-colleagues-innovation-and-competition-bill,327,H001076
NUCOR CORPORATION -> Charles E. Schumer,23000.0,2,5,Charles E. Schumer,Democrat,NY,sen,1,2022-09-28,2025-01-31,2024-05-20,2024-07-10,https://www.schumer.senate.gov/newsroom/press-releases/schumer-on-heels-of-biden-tripling-steel-tariffs-against-china-we-must-strike-while-the-iron-is-hot-and-close-the-mexican-steel-loophole-hurting-central-ny-businesses-like-nucor-standing-with-cny-steelworkers-schumer-launches-new-push-for-feds-to-stop-china_other-countries-laundering-steel-through-mexico-and-pushes-to-level-the-playing-field-for-american-made-steel--american-workers,1499,S000148
AMERICAN FINANCIAL SERVICES ASSOCIATION -> Andy Barr,22500.0,2,7,Andy Barr,Republican,KY,rep,1,2022-07-05,2025-03-06,2023-12-15,2025-05-03,https://barr.house.gov/press-releases?ID=B168D678-0C8F-4766-B711-1C51D5C74372,177,B001282
AMERICAN HOTEL & LODGING ASSOCIATION -> Margaret Wood Hassan,22500.0,2,7,Margaret Wood Hassan,Democrat,NH,sen,1,2022-03-24,2025-03-14,2024-12-03,2025-02-10,https://www.hassan.senate.gov/news/press-releases/hassan-cassidy-reintroduce-bill-to-connect-individuals-to-the-workforce,190,H001076
"BAE SYSTEMS, INC. -> Ashley Hinson",22500.0,2,12,Ashley Hinson,Republican,IA,rep,1,2022-07-26,2025-11-25,2022-11-01,2025-04-08,https://hinson.house.gov/media/press-releases/photos-rep-hinson-connects-iowans-across-linn-and-poweshiek-counties,327,H001091
BOEING COMPANY -> Shelley Moore Capito,22500.0,3,11,Shelley Moore Capito,Republican,WV,sen,1,2022-06-28,2025-11-14,2024-04-24,2025-05-14,https://www.capito.senate.gov/news/press-releases/photos-capito-cuts-ribbon-on-aurora-flight-sciences-expansion-in-bridgeport,406,C001047
