pair,score,n_mentions,n_contribs,member,party,state,chamber,is_current,first_contrib,last_contrib,first_mention,last_mention,sample_url,entity_id,bioguide
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Richard E. Neal",37500.0,2,9,Richard E. Neal,Democrat,MA,rep,1,2022-04-28,2025-09-08,2023-04-13,2025-07-17,https://neal.house.gov/2025/07/17/neal-democratic-health-leaders-urge-insurers-to-cover-vaccines/,757,N000015
"VISA, INC. -> Richard E. Neal",37500.0,4,10,Richard E. Neal,Democrat,MA,rep,1,2022-03-24,2025-04-22,2022-03-17,2024-05-15,https://neal.house.gov/2024/05/15/news-documentsingle-aspx-documentid-3954/,2204,N000015
GENERAL DYNAMICS CORPORATION -> Richard E. Neal,37000.0,5,13,Richard E. Neal,Democrat,MA,rep,1,2022-02-01,2025-12-02,2022-07-14,2024-12-11,https://neal.house.gov/2024/12/11/news-documentsingle-aspx-documentid-4092/,919,N000015
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Roger F. Wicker",37000.0,2,18,Roger F. Wicker,Republican,MS,sen,1,2022-03-21,2025-10-22,2023-12-14,2024-03-05,https://www.wicker.senate.gov/2024/3/senator-wicker-visits-gulf-coast-shipyards-with-navy-marine-corps-leadership,1035,W000437
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Richard Hudson",37000.0,12,9,Richard Hudson,Republican,NC,rep,1,2022-04-06,2025-08-20,2023-01-17,2025-03-28,https://hudson.house.gov/press-releases/what-they-are-saying-hudson-introduces-concealed-carry-reciprocity-opposes-latest,1426,H001067
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Doris O. Matsui,37000.0,3,9,Doris O. Matsui,Democrat,CA,rep,1,2022-04-21,2025-06-19,2022-10-27,2024-05-06,https://matsui.house.gov/media/press-releases/matsui-and-guthrie-urge-biden-administration-review-federal-receiver,2194,M001163
"VISA, INC. -> Kevin Cramer",37000.0,7,9,Kevin Cramer,Republican,ND,sen,1,2022-06-22,2025-11-13,2023-09-06,2024-04-23,https://www.cramer.senate.gov/news/press-releases/sens-cramer-hickenlooper-introduce-legislation-to-eliminate-ineffective-per-country-visa-caps-prioritize-merit-based-immigration,2204,C001096
NATIONAL ASSOCIATION OF BROADCASTERS -> Margaret Wood Hassan,36250.0,2,13,Margaret Wood Hassan,Democrat,NH,sen,1,2022-06-27,2025-12-31,2023-03-09,2023-10-20,https://www.hassan.senate.gov/news/press-releases/shaheen-hassan-join-group-of-senators-to-urge-fcc-to-improve-access-to-local-journalism,1368,H001076
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Doris O. Matsui,35500.0,8,11,Doris O. Matsui,Democrat,CA,rep,1,2022-06-02,2025-12-30,2023-05-22,2024-04-26,https://matsui.house.gov/media/in-the-news/communications-daily-thune-and-latta-skeptical-white-house-call-6b-supplemental,1437,M001163
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Tom Emmer",35000.0,2,7,Tom Emmer,Republican,MN,rep,1,2022-02-10,2025-02-28,2025-03-06,2025-07-17,https://emmer.house.gov/media-center/press-releases/majority-whip-tom-emmer-s-flagship-legislation-the-anti-cbdc-surveillance-state-act-passes-house-of-representatives,644,E000294
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Angus S. King, Jr.",35000.0,2,8,"Angus S. King, Jr.",Independent,ME,sen,1,2022-06-01,2025-12-01,2023-08-10,2023-11-11,https://www.king.senate.gov/newsroom/press-releases/king-the-coast-guard-is-the-territory-of-the-brave,757,K000383
GENERAL DYNAMICS CORPORATION -> Jack Reed,35000.0,11,15,Jack Reed,Democrat,RI,sen,1,2022-02-23,2025-12-11,2023-06-06,2026-03-22,https://www.reed.senate.gov/news/releases/senedia-awarded-follow-on-contractfor-workforce-development,919,R000122
"HUMANA, INC. -> Richard E. Neal",35000.0,2,9,Richard E. Neal,Democrat,MA,rep,1,2022-07-21,2025-03-17,2023-04-13,2025-07-17,https://neal.house.gov/2025/07/17/neal-democratic-health-leaders-urge-insurers-to-cover-vaccines/,1030,N000015
"VISA, INC. -> Mark R. Warner",34000.0,14,9,Mark R. Warner,Democrat,VA,sen,1,2022-05-11,2025-03-17,2022-02-10,2025-09-29,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=FB2D5955-91F7-4BF7-954E-877A37EEBB69,2204,W000805
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Katie Boyd Britt",33500.0,2,8,Katie Boyd Britt,Republican,AL,sen,1,2022-03-10,2025-12-30,2025-10-22,2026-02-13,https://www.britt.senate.gov/news/press-releases/u-s-senators-katie-britt-tim-scott-john-kennedy-seek-modernization-to-law-targeting-illicit-financial-activity/,644,B001319
ELI LILLY AND COMPANY -> Tim Kaine,33500.0,2,11,Tim Kaine,Democrat,VA,sen,1,2022-03-29,2025-12-01,2024-01-02,2025-09-16,https://www.kaine.senate.gov/press-releases/warner-and-kaine-applaud-35-monthly-insulin-caps-by-largest-insulin-manufacturers-following-inflation-reduction-act-implementation,759,K000384
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Salud O. Carbajal,33000.0,6,12,Salud O. Carbajal,Democrat,CA,rep,1,2022-04-08,2025-11-11,2022-04-29,2023-04-19,https://carbajal.house.gov/news/documentsingle.aspx?DocumentID=1436,1550,C001112
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Ronny Jackson,32900.0,2,7,Ronny Jackson,Republican,TX,rep,1,2022-02-10,2024-09-03,2022-03-31,2024-03-29,https://jackson.house.gov/news/documentsingle.aspx?DocumentID=976,194,J000304
EXXON MOBIL CORPORATION -> Lisa Murkowski,32750.0,5,9,Lisa Murkowski,Republican,AK,sen,1,2022-02-15,2025-04-25,2022-08-19,2025-06-12,https://www.murkowski.senate.gov/press/release/murkowski-sullivan-welcome-over-45-million-dot-grant-to-the-native-village-of-eyak-to-benefit-oil-spill-response-facility,824,M001153
BERKSHIRE HATHAWAY ENERGY -> John R. Curtis,32500.0,3,13,John R. Curtis,Republican,UT,sen,1,2022-03-24,2025-07-31,2025-04-18,2025-09-25,https://www.curtis.senate.gov/press-releases/what-they-are-saying-dozens-of-leaders-applaud-fix-our-forests-act,362,C001114
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Tim Scott",32500.0,2,7,Tim Scott,Republican,SC,sen,1,2022-09-21,2025-12-30,2024-03-20,2025-07-29,https://www.scott.senate.gov/media-center/press-releases/sens-scott-kennedy-introduce-bill-to-stop-biden-admins-big-government-lending-scheme/,644,S001184
GENERAL MOTORS COMPANY -> Lisa C. McClain,32500.0,3,12,Lisa C. McClain,Republican,MI,rep,1,2022-03-04,2025-03-03,2024-12-11,2025-12-03,https://mcclain.house.gov/2025/6/chairwoman-mcclain-joins-gm-for-major-auto-manufacturing-investment-announcement,923,M001136
UNION PACIFIC CORPORATION -> Deb Fischer,32500.0,2,12,Deb Fischer,Republican,NE,sen,1,2022-01-27,2025-03-10,2025-07-29,2025-12-19,https://www.fischer.senate.gov/public/index.cfm/news?ID=FFB95124-F789-4360-8B8E-249CA251CBF6,2136,F000463
"VISA, INC. -> Andy Barr",32500.0,2,8,Andy Barr,Republican,KY,rep,1,2022-09-28,2025-11-13,2025-10-24,2026-03-03,https://barr.house.gov/press-releases?ID=9ADC88D6-60C9-4788-A14B-ADDB25A3A5B1,2204,B001282
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Bradley Scott Schneider,32100.0,3,10,Bradley Scott Schneider,Democrat,IL,rep,1,2022-02-10,2025-04-29,2022-01-10,2024-09-24,https://schneider.house.gov/media/press-releases/schneider-colleagues-launch-bipartisan-bicameral-abraham-accords-caucus,194,S001190
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Jack Reed",32000.0,5,12,Jack Reed,Democrat,RI,sen,1,2022-03-17,2025-12-11,2024-04-24,2026-03-22,https://www.reed.senate.gov/news/releases/reed-new-184b-navy-submarine-contract-to-boost-ri-workforce-and-help-safeguard-the-nation,1035,R000122
NATIONAL BUSINESS AVIATION ASSOCIATION INC -> Rick Larsen,32000.0,2,18,Rick Larsen,Democrat,WA,rep,1,2022-03-01,2025-12-09,2022-04-28,2022-06-13,https://larsen.house.gov/news/documentsingle.aspx?DocumentID=2667,1390,L000560
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Tim Kaine",31500.0,5,11,Tim Kaine,Democrat,VA,sen,1,2022-05-20,2025-09-18,2024-02-06,2025-04-30,https://www.kaine.senate.gov/press-releases/kaine-statement-on-vote-to-pass-national-security-supplemental,1035,K000384
"T-MOBILE USA, INC. -> Doris O. Matsui",31500.0,9,11,Doris O. Matsui,Democrat,CA,rep,1,2022-06-23,2025-12-04,2022-10-27,2023-12-05,https://matsui.house.gov/media/press-releases/matsui-opening-remarks-communications-and-technology-subcommittee-hearing-fcc,1951,M001163
NORTHROP GRUMMAN CORPORATION -> Ted Lieu,31000.0,2,11,Ted Lieu,Democrat,CA,rep,1,2022-05-24,2025-05-20,2022-03-14,2022-07-13,https://lieu.house.gov/media-center/press-releases/rep-lieu-praises-first-images-james-webb-space-telescope,1485,L000582
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Yvette D. Clarke,31000.0,7,9,Yvette D. Clarke,Democrat,NY,rep,1,2022-06-17,2025-11-20,2024-04-08,2024-05-01,https://clarke.house.gov/rep-clarke-and-senator-welch-issue-statement-following-fcc-warning-nationwide-impact-of-final-month-for-acp/,2194,C001067
GENERAL DYNAMICS CORPORATION -> Seth Magaziner,30500.0,2,17,Seth Magaziner,Democrat,RI,rep,1,2022-09-27,2025-12-11,2023-07-12,2023-09-13,https://magaziner.house.gov/media/press-releases/rep-magaziner-urges-continued-investment-americas-submarine-fleet-house-floor,919,M001223
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Brian K. Fitzpatrick,30000.0,4,8,Brian K. Fitzpatrick,Republican,PA,rep,1,2022-02-10,2025-04-22,2023-01-09,2024-08-20,https://fitzpatrick.house.gov/2024/8/fitzpatrick-colleagues-introduce-bipartisan-stand-with-israel-act-to-confront-bias,194,F000466
GENERAL DYNAMICS CORPORATION -> Mazie K. Hirono,30000.0,2,12,Mazie K. Hirono,Democrat,HI,sen,1,2022-02-22,2025-02-24,2023-02-22,2023-03-10,https://www.hirono.senate.gov/news/press-releases/photos-and-video-hirono-tours-general-dynamics-hsi-electric-boat-facility,919,H001042
"L3HARRIS TECHNOLOGIES, INC. -> Charles E. Schumer",30000.0,4,6,Charles E. Schumer,Democrat,NY,sen,1,2022-03-26,2025-03-28,2022-01-28,2025-01-23,https://www.schumer.senate.gov/newsroom/press-releases/schumer-morelle-announce-rochesters-l3harris-secures-marine-corp-radio-contract-worth-up-to-750-million-lawmakers-fought-so-l3harris-could-compete-for-multi-billion-contracts-and-now-marines-recognize-world-class-rochester-workforce-and-company-as-leading-cutting-edge-radio-manufacturer-,1181,S000148
"MICROSOFT CORPORATION -> Angus S. King, Jr.",30000.0,3,8,"Angus S. King, Jr.",Independent,ME,sen,1,2022-09-19,2025-12-08,2024-02-16,2024-07-30,https://www.king.senate.gov/newsroom/press-releases/senators-collins-king-join-bipartisan-bill-supporting-kids-online-safety-act,1318,K000383
NATIONAL ASSOCIATION OF BROADCASTERS -> John Barrasso,30000.0,2,6,John Barrasso,Republican,WY,sen,1,2022-07-06,2025-12-22,2023-03-09,2025-03-04,https://www.barrasso.senate.gov/newsroom-news-releases-barrasso-hassan-introduce-the-bipartisan-local-radio-freedom-act/,1368,B001261
NATIONAL ASSOCIATION OF BROADCASTERS -> Doris O. Matsui,30000.0,3,6,Doris O. Matsui,Democrat,CA,rep,1,2022-09-20,2025-06-25,2023-07-28,2023-09-14,https://matsui.house.gov/media/in-the-news/streamtv-insider-lawmakers-express-frustration-over-blackouts-fee-hikes-during,1368,M001163
NATIONAL THOROUGHBRED RACING ASSOCIATION -> Andy Barr,30000.0,6,7,Andy Barr,Republican,KY,rep,1,2022-07-14,2024-09-14,2023-04-27,2025-07-25,https://barr.house.gov/press-releases?ID=DCDB29E4-327E-4E14-85A5-165DCCA70871,1429,B001282
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Tammy Baldwin",30000.0,6,6,Tammy Baldwin,Democrat,WI,sen,1,2022-03-17,2025-08-21,2022-12-09,2026-02-13,https://www.baldwin.senate.gov/news/press-releases/senators-baldwin-duckworth-lead-bill-to-ensure-seat-size-other-real-life-conditions-are-considered-in-federal-aircraft-emergency-evacuation-standards,2088,B001230
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Robert Menendez",30000.0,3,9,Robert Menendez,Democrat,NJ,rep,1,2022-05-11,2024-01-30,2023-06-12,2026-01-27,https://menendez.house.gov/media/press-releases/reps-menendez-garbarino-and-garamendi-introduce-airline-employee-assault,2088,M001226
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Donald Norcross",30000.0,3,6,Donald Norcross,Democrat,NJ,rep,1,2022-07-27,2025-06-29,2022-07-20,2025-09-16,https://norcross.house.gov/press-releases?ID=F4766C5C-F0F1-4A43-B984-A491108E09CF,2088,N000188
"VISA, INC. -> Tim Kaine",30000.0,20,7,Tim Kaine,Democrat,VA,sen,1,2022-07-19,2025-03-28,2023-11-17,2026-03-25,https://www.kaine.senate.gov/press-releases/warner-kaine-colleagues-push-for-maximum-number-of-h-2b-work-visas-in-2025,2204,K000384
"VISA, INC. -> Mike Rounds",30000.0,3,6,Mike Rounds,Republican,SD,sen,1,2022-03-30,2025-03-17,2022-02-11,2024-10-30,https://www.rounds.senate.gov/newsroom/press-releases/rounds-manchin-lead-bipartisan-effort-to-protect-small-businesses-from-labor-shortages-,2204,R000605
AMERICAN OPTOMETRIC ASSOCIATION -> Kevin Cramer,29500.0,2,7,Kevin Cramer,Republican,ND,sen,1,2022-08-23,2025-09-25,2024-12-13,2025-05-12,https://www.cramer.senate.gov/news/press-releases/cramer-murphy-introduce-legislation-to-improve-vision-care-quality-protect-consumer-choice,201,C001096
NATIONAL ASSOCIATION OF BROADCASTERS -> Ted Cruz,29500.0,4,10,Ted Cruz,Republican,TX,sen,1,2022-09-29,2025-12-29,2022-09-22,2023-07-27,https://www.cruz.senate.gov/newsroom/press-releases/sens-cruz-and-markey-send-bipartisan-letter-urging-automakers-to-keep-am-radio-in-vehicles,1368,C001098
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Lois Frankel,29200.0,3,9,Lois Frankel,Democrat,FL,rep,1,2022-02-10,2025-05-14,2023-06-07,2024-02-14,https://frankel.house.gov/news/documentsingle.aspx?DocumentID=3666,194,F000462
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> David Kustoff,29200.0,2,9,David Kustoff,Republican,TN,rep,1,2022-02-07,2025-05-27,2023-02-09,2025-01-14,https://kustoff.house.gov/media/press-releases/reps-kustoff-gottheimer-reintroduce-bipartisan-legislation-expose-corruption,194,K000392
"BAE SYSTEMS, INC. -> Scott H. Peters",28500.0,3,12,Scott H. Peters,Democrat,CA,rep,1,2022-01-26,2025-09-25,2023-07-10,2024-04-17,https://scottpeters.house.gov/press-releases/rep-peters-secures-san-diego-defense-priorities-votes-for-national-defense-authorization-act,327,P000608
MICROSOFT CORPORATION -> Mark R. Warner,28500.0,14,7,Mark R. Warner,Democrat,VA,sen,1,2022-03-29,2025-04-07,2022-05-25,2026-03-25,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=E4C382BD-E6B4-4330-84A5-5382791B8FC8,1318,W000805
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Marsha Blackburn,28000.0,3,8,Marsha Blackburn,Republican,TN,sen,1,2022-03-25,2025-05-29,2025-10-10,2026-02-12,https://www.blackburn.senate.gov/2026/2/immigration/video-blackburn-calls-out-democrats-for-siding-with-criminal-illegal-aliens-recaps-arctic-frost-hearing,2194,B001243
"AMAZON.COM SERVICES, INC. -> Tim Kaine",27800.0,3,14,Tim Kaine,Democrat,VA,sen,1,2023-08-25,2025-09-09,2023-11-08,2025-07-31,https://www.kaine.senate.gov/press-releases/warner-and-kaine-statement-on-gsas-fbi-relocation-decision,125,K000384
AMERICAN FINANCIAL SERVICES ASSOCIATION -> Andy Barr,27500.0,2,8,Andy Barr,Republican,KY,rep,1,2022-07-05,2025-03-06,2023-12-15,2025-05-03,https://barr.house.gov/press-releases?ID=B168D678-0C8F-4766-B711-1C51D5C74372,177,B001282
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Joyce Beatty",27500.0,2,9,Joyce Beatty,Democrat,OH,rep,1,2022-03-10,2025-12-15,2022-12-23,2025-06-05,https://beatty.house.gov/media-center/press-releases/partnering-for-prosperity-beatty-boosts-small-financial-institutions-nationwide,644,B001281
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Kevin Cramer",27500.0,2,7,Kevin Cramer,Republican,ND,sen,1,2022-07-18,2025-12-15,2024-03-20,2024-04-09,https://www.cramer.senate.gov/news/press-releases/senators-introduce-resolution-of-disapproval-on-cfpb-credit-card-late-penalty-final-rule,644,C001096
MICROSOFT CORPORATION -> Jeanne Shaheen,27500.0,2,6,Jeanne Shaheen,Democrat,NH,sen,1,2022-03-29,2025-08-28,2024-08-09,2024-12-03,https://www.shaheen.senate.gov/news/press/shaheen-scott-call-on-big-tech-ceos-to-adopt-programs-cracking-down-on-the-spread-of-non-consensual-intimate-imagery-on-online-platforms,1318,S001181
MICROSOFT CORPORATION -> Todd Young,27500.0,2,7,Todd Young,Republican,IN,sen,1,2022-05-31,2025-09-05,2024-02-15,2025-02-14,https://www.young.senate.gov/newsroom/press-releases/young-op-ed-a-tech-power-playbook-for-donald-trump-2-0/,1318,Y000064
NORFOLK SOUTHERN CORPORATION -> Roger F. Wicker,27500.0,2,8,Roger F. Wicker,Republican,MS,sen,1,2022-07-05,2025-06-04,2024-08-27,2024-10-22,https://www.wicker.senate.gov/2024/8/senator-wicker-highlights-economic-importance-of-amtrak-returning-to-the-gulf-coast,1478,W000437
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Maxwell Frost",27500.0,3,10,Maxwell Frost,Democrat,FL,rep,1,2022-07-27,2025-06-29,2024-05-23,2025-09-09,https://frost.house.gov/media/press-releases/congressman-maxwell-frost-unveils-legislation-to-deliver-faster-more-pleasant-and-reliable-public-transit-nationwide_the-faster-buses-better-futures-act,2088,F000476
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Vern Buchanan,27100.0,2,7,Vern Buchanan,Republican,FL,rep,1,2022-04-14,2024-09-16,2024-05-09,2025-01-23,https://buchanan.house.gov/2025/1/buchanan-introduces-bill-to-bolster-u-s-israel-healthcare-partnership,194,B001260
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Claudia Tenney,27100.0,4,7,Claudia Tenney,Republican,NY,rep,1,2022-04-14,2024-09-16,2023-04-13,2025-08-07,https://tenney.house.gov/media/press-releases/congresswoman-tenneys-resolution-urging-european-union-designate-irgc,194,T000478
MICROSOFT CORPORATION -> Kevin Cramer,26000.0,2,6,Kevin Cramer,Republican,ND,sen,1,2022-09-29,2025-12-08,2024-12-09,2025-01-28,https://www.cramer.senate.gov/news/press-releases/cramer-questions-industry-executives-on-defense-innovation-and-acquisition-reform,1318,C001096
MICROSOFT CORPORATION -> Jerry Moran,26000.0,3,9,Jerry Moran,Republican,KS,sen,1,2022-05-22,2025-12-21,2023-11-02,2024-05-23,https://www.moran.senate.gov/public/index.cfm/news-releases?ID=EA14D5FF-EA37-4C75-87CE-218927D505F8,1318,M000934
"AMAZON.COM SERVICES, INC. -> Jack Reed",25750.0,2,8,Jack Reed,Democrat,RI,sen,1,2022-03-23,2025-09-29,2025-05-29,2026-03-13,https://www.reed.senate.gov/news/releases/reed-warren-wyden-urge-investigation-to-determine-if-doge-employees-committed-criminal-violations-of-federal-ethics-laws,125,R000122
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Ann Wagner,25700.0,2,9,Ann Wagner,Republican,MO,rep,1,2022-02-10,2025-03-25,2022-01-10,2022-06-09,https://wagner.house.gov/media-center/press-releases/wagner-colleagues-launch-abraham-accords-caucus,194,W000812
BOEING COMPANY -> Jerry Moran,25500.0,9,13,Jerry Moran,Republican,KS,sen,1,2022-03-29,2025-05-27,2023-06-02,2026-02-20,https://www.moran.senate.gov/public/index.cfm/news-releases?ID=F5A59BFE-6D25-4E4A-93B3-A893EEC2DD02,406,M000934
INTEL CORPORATION -> Troy Balderson,25500.0,7,9,Troy Balderson,Republican,OH,rep,1,2022-03-10,2025-03-14,2022-02-02,2024-03-20,https://balderson.house.gov/news/documentsingle.aspx?DocumentID=2628,1081,B001306
"ALASKA AIRLINES, INC. -> Rick Larsen",25000.0,2,6,Rick Larsen,Democrat,WA,rep,1,2022-06-23,2025-06-17,2022-02-03,2022-05-17,https://larsen.house.gov/news/documentsingle.aspx?DocumentID=2644,77,L000560
AMERICAN HOTEL & LODGING ASSOCIATION -> Margaret Wood Hassan,25000.0,2,8,Margaret Wood Hassan,Democrat,NH,sen,1,2022-03-24,2025-03-14,2024-12-03,2025-02-10,https://www.hassan.senate.gov/news/press-releases/hassan-cassidy-reintroduce-bill-to-connect-individuals-to-the-workforce,190,H001076
"BAE SYSTEMS, INC. -> Ashley Hinson",25000.0,2,13,Ashley Hinson,Republican,IA,rep,1,2022-07-26,2025-11-25,2022-11-01,2025-04-08,https://hinson.house.gov/media/press-releases/photos-rep-hinson-connects-iowans-across-linn-and-poweshiek-counties,327,H001091
CAPITAL ONE FINANCIAL CORPORATION -> Tim Kaine,25000.0,4,5,Tim Kaine,Democrat,VA,sen,1,2022-06-18,2025-11-11,2023-11-08,2024-03-07,https://www.kaine.senate.gov/press-releases/warner-and-kaine-statement-on-gsas-fbi-relocation-decision,455,K000384
