activity_id,filing_uuid,registrant_id,client_id,filing_year,filing_period,dt_posted,stance_label,stance_confidence,source,cohort,is_canonical
7189,56b8ca64-f0a7-49d8-a1af-9c5d861fc18b,401103524,199384,2022,first_quarter,2022-04-14T15:10:26-04:00,relief,0.95,agreed,established,1
7269,a0b702bc-0e26-4a1a-b31f-cf095c2d959b,400408933,190355,2022,first_quarter,2022-04-14T15:47:03-04:00,mixed,0.7,opus,established,1
7395,d5e262e6-d6f8-402c-adec-aa786719c389,401103817,200195,2022,first_quarter,2022-04-14T16:42:46-04:00,mixed,0.8,opus,established,1
7698,8c817a9e-a26f-4969-a563-a467ca39018f,401105130,203270,2022,first_quarter,2022-04-15T09:22:21-04:00,unclear,0.9,agreed,established,1
7806,e41aaefd-4068-4684-8420-8153498f58ae,79610,212525,2022,first_quarter,2022-04-15T10:32:45-04:00,unclear,0.9,agreed,established,1
9480,d9bc39d4-bc2f-4019-960d-c3198fd78efb,7268,110469,2022,first_quarter,2022-04-16T17:42:21-04:00,unclear,0.4,agreed,established,1
9836,99ce9da8-454f-46a3-ad02-3127fb5d9025,289773,177534,2022,first_quarter,2022-04-17T12:30:44-04:00,unclear,0.55,agreed,established,1
10722,1e3b980e-ccdd-42b5-8b36-703aa17b3a40,24123,51119,2022,first_quarter,2022-04-18T10:49:32-04:00,unclear,0.95,agreed,established,1
10917,a0aed799-da59-43f9-a5b3-5abff27e3d1b,45937,153798,2022,first_quarter,2022-04-18T11:23:21-04:00,relief,0.9,agreed,established,1
11448,20e8db4c-1e92-4add-a842-21cbf72a1ace,22883,129729,2022,first_quarter,2022-04-18T12:54:25-04:00,unclear,0.95,agreed,established,1
11803,d0dffb60-2aa2-4af8-8323-6194506137cc,22883,129738,2022,first_quarter,2022-04-18T14:05:27-04:00,unclear,0.95,agreed,established,1
12599,b1b00544-84a2-417d-8bd3-b4818a654ae1,22883,129756,2022,first_quarter,2022-04-18T16:16:54-04:00,unclear,0.55,agreed,established,1
12607,a7afbc71-6574-4cc8-9141-a922bf2fa81a,401103472,198926,2022,first_quarter,2022-04-18T16:19:03-04:00,unclear,0.4,agreed,established,1
12693,c3f02659-6bd3-4ed5-9d9b-ccd09ebe5594,5506,107350,2022,first_quarter,2022-04-18T16:30:50-04:00,relief,0.95,agreed,established,1
12743,7bd3ff48-06f1-4d34-b867-9ea6c0979296,285871,176177,2022,first_quarter,2022-04-18T16:37:10-04:00,unclear,0.5,agreed,established,1
13461,acd951c3-2788-4910-8497-fc9423490b4e,39941,148807,2022,first_quarter,2022-04-18T20:42:48-04:00,relief,0.95,agreed,established,1
13850,327eac37-8202-44c9-95bd-80f2da727e81,39837,148617,2022,first_quarter,2022-04-19T06:05:35-04:00,relief,0.6,opus,established,1
14004,31ef6f9d-ea9d-422d-8489-4c0c32dcea99,401106405,213706,2022,first_quarter,2022-04-19T08:39:32-04:00,relief,0.95,agreed,established,1
14048,3137389a-9fe6-49ec-a2ee-cf19a2b2f6f4,52071,157715,2022,first_quarter,2022-04-19T08:48:21-04:00,relief,0.95,agreed,established,1
14686,e65a8752-7c00-447a-915c-f896a9bba181,401103094,197904,2022,first_quarter,2022-04-19T09:56:05-04:00,unclear,0.4,agreed,established,0
15958,538f70e2-a9e2-4835-bb04-de53c78ffeef,400426039,190608,2022,first_quarter,2022-04-19T11:40:48-04:00,unclear,0.4,opus,established,1
16001,83a28a2d-735c-4784-91d7-e1931a568dac,38687,146957,2022,first_quarter,2022-04-19T11:43:32-04:00,unclear,0.95,agreed,established,1
16091,dd5a0ab3-ebc4-479a-bb33-a0794268f2fe,400426039,190614,2022,first_quarter,2022-04-19T11:52:47-04:00,unclear,0.4,opus,established,1
16339,5b5e9ffa-611d-47c8-b5df-d5e4b6a13d87,35002,206932,2022,first_quarter,2022-04-19T12:16:25-04:00,relief,0.95,agreed,established,1
16748,89e89d2a-fb73-4a94-a4c0-081dd7efa151,82237,171655,2022,first_quarter,2022-04-19T12:51:34-04:00,unclear,0.9,agreed,unknown,1
16809,27e92f4d-9768-4e50-a526-b385165da399,401105589,205749,2022,first_quarter,2022-04-19T12:57:57-04:00,mixed,0.7,opus,established,1
17017,1190dfc0-0c34-4a76-adeb-bfa01e488cef,400942717,196304,2022,first_quarter,2022-04-19T13:17:43-04:00,unclear,0.4,agreed,established,1
17713,4d2ec702-dc42-4dc5-91cc-434fc0f52a33,24032,131195,2022,first_quarter,2022-04-19T14:28:51-04:00,relief,0.85,opus,established,1
18309,e6728ee7-6558-41d4-abe7-5ff49ead50f6,1683,102647,2022,first_quarter,2022-04-19T15:12:32-04:00,unclear,0.4,agreed,established,0
18660,2b46c1ce-281d-4995-b5c3-057e681c2d78,1433,102615,2022,first_quarter,2022-04-19T15:35:33-04:00,unclear,0.95,agreed,established,1
18686,46569fbf-85b0-4e83-a89c-dbdadddffb56,5153,209539,2022,first_quarter,2022-04-19T15:36:58-04:00,unclear,0.5,agreed,established,1
18994,588c5ea9-e11e-4ccc-8154-89909273853b,1433,102612,2022,first_quarter,2022-04-19T15:59:14-04:00,unclear,0.95,agreed,established,1
19853,5d4375c0-1090-47a3-b9b1-bcc566f4c279,24123,51199,2022,first_quarter,2022-04-19T17:00:36-04:00,relief,0.9,agreed,established,1
20623,ccb2daaf-48bb-4a0f-8067-6e7d260e5c97,39655,147175,2022,first_quarter,2022-04-19T18:40:40-04:00,unclear,0.5,agreed,established,1
21475,2279699f-3f3f-4b49-848d-a67b3d574039,287394,208491,2022,first_quarter,2022-04-19T22:07:24-04:00,unclear,0.95,agreed,established,1
21482,bb51d6d7-7561-4b28-a16f-05a5c41b7a48,287394,208492,2022,first_quarter,2022-04-19T22:09:09-04:00,unclear,0.95,agreed,established,1
21490,eee10949-8e34-45ea-9413-d82b5aab6be6,287394,208530,2022,first_quarter,2022-04-19T22:11:35-04:00,unclear,0.95,agreed,established,1
21509,0b14a2c9-ec59-44b8-a959-20e11d89cb95,287394,208563,2022,first_quarter,2022-04-19T22:14:02-04:00,unclear,0.95,agreed,established,1
21517,0c11a7be-c4ca-4cbd-b55e-0404257d6bc4,287394,208564,2022,first_quarter,2022-04-19T22:17:36-04:00,unclear,0.95,agreed,established,1
21603,91f4125e-1b9a-4bbe-8ac5-3085dbe0223b,401104288,205374,2022,first_quarter,2022-04-19T22:36:49-04:00,mixed,0.6,opus,established,1
22138,4b84b6a6-4815-49ff-970e-4ded8eb8db9f,317311,186004,2022,first_quarter,2022-04-20T08:20:20-04:00,unclear,0.45,opus,established,1
22675,a66976ab-ae60-4811-ae6b-b894d0274e67,29846,135234,2022,first_quarter,2022-04-20T09:22:37-04:00,relief,0.88,agreed,established,1
22748,720b53a3-7bb5-4160-bb32-ba488e94cffc,29846,135239,2022,first_quarter,2022-04-20T09:28:01-04:00,unclear,0.5,agreed,established,1
23339,8dd8ab6f-26d5-4fb3-b868-0a51990ac1b2,401104734,202533,2022,first_quarter,2022-04-20T09:59:54-04:00,unclear,0.55,agreed,established,1
23405,01647a6e-f712-449d-9a11-030c6d1bdde7,58055,160433,2022,first_quarter,2022-04-20T10:03:12-04:00,relief,0.95,agreed,established,1
24634,3ed7eab5-97b3-4b51-afc8-51f9d8e46d99,25603,204321,2022,first_quarter,2022-04-20T10:55:56-04:00,unclear,0.4,agreed,established,1
24672,48c8bbef-a8fc-46fd-8f97-666fcde5006f,24123,131484,2022,first_quarter,2022-04-20T10:57:25-04:00,unclear,0.95,agreed,established,1
24725,587768a5-7fae-4999-94f2-42f9a5bb91a2,81511,171312,2022,first_quarter,2022-04-20T10:58:31-04:00,unclear,0.4,agreed,established,1
25212,12d97957-095d-48c5-9622-6948af2bc946,35263,143852,2022,first_quarter,2022-04-20T11:22:16-04:00,relief,0.9,agreed,established,1
25565,0d0b6c89-d906-4b32-bf73-654df85c4067,26912,134239,2022,first_quarter,2022-04-20T11:39:17-04:00,unclear,0.45,opus,established,1
26170,97dcc154-103f-4dfc-a689-69321ad2ea83,401104313,201390,2022,first_quarter,2022-04-20T12:04:46-04:00,unclear,0.95,agreed,established,1
26414,b3780339-3b72-4b2d-97a0-3e7e8ae72e74,401103779,200127,2022,first_quarter,2022-04-20T12:15:03-04:00,unclear,0.4,agreed,established,1
26470,13d0c74c-5d7b-47d4-914b-1c8120f56988,400774330,206210,2022,first_quarter,2022-04-20T12:17:08-04:00,unclear,0.5,agreed,established,1
26480,d34f9a4e-8ff7-4646-81e5-3c7c595a5295,49635,156506,2022,first_quarter,2022-04-20T12:17:41-04:00,unclear,0.45,opus,established,1
26683,8fad5508-e461-4d74-8795-b2304439153b,401103521,199280,2022,first_quarter,2022-04-20T12:25:00-04:00,unclear,0.95,agreed,established,1
27128,9bf1f55f-d9f3-4a4a-9a41-88b8e3a539bf,363,100404,2022,first_quarter,2022-04-20T12:44:18-04:00,unclear,0.5,agreed,established,1
27697,e4036b14-f73c-4893-897e-3a65e5a29c59,401105784,206899,2022,first_quarter,2022-04-20T13:11:35-04:00,relief,0.9,agreed,established,1
27713,d05223bc-b061-4b86-8b2b-2fd26c59d9ce,401105417,203687,2022,first_quarter,2022-04-20T13:11:43-04:00,unclear,0.5,agreed,established,1
27847,53a45cc8-d2c4-4def-bc5f-403b335edc26,401105417,203674,2022,first_quarter,2022-04-20T13:20:38-04:00,unclear,0.5,opus,established,1
27866,cbd11ea6-8176-4958-a9e2-98cef340ac55,401103565,208110,2022,first_quarter,2022-04-20T13:21:09-04:00,unclear,0.45,opus,established,1
28098,48848a90-1bf4-49fe-a1ca-856b37f40ba4,30393,135816,2022,first_quarter,2022-04-20T13:29:36-04:00,relief,0.95,agreed,established,0
28759,fd29d3de-7f7c-43d3-878c-27250708b4ee,401103094,197904,2022,first_quarter,2022-04-20T13:55:49-04:00,unclear,0.4,agreed,established,1
28764,f8767ac6-31b3-4a0f-9232-ccf8cbb5e4cd,24486,212498,2022,first_quarter,2022-04-20T13:55:56-04:00,unclear,0.55,agreed,established,1
28971,d434f8f1-2ad1-4106-aa86-b692436db238,401105417,203656,2022,first_quarter,2022-04-20T14:04:20-04:00,unclear,0.95,agreed,established,1
29094,cf4a1f65-4788-4d21-a2d9-73b7a3f16abb,401105417,205635,2022,first_quarter,2022-04-20T14:09:06-04:00,unclear,0.95,agreed,established,1
29253,512ffba1-030a-44e5-b876-86ded4d49c11,13370,118930,2022,first_quarter,2022-04-20T14:14:13-04:00,relief,0.9,agreed,established,1
29488,d88940eb-bc1a-4267-8ac0-e4f7d086ef96,27753,134319,2022,first_quarter,2022-04-20T14:24:56-04:00,unclear,0.4,agreed,established,1
29821,0fb46f8d-043c-459a-8213-0eaf22df7b63,401105417,203664,2022,first_quarter,2022-04-20T14:35:07-04:00,unclear,0.5,agreed,established,1
29912,9c91c181-c24e-4bdf-8841-9d6c8ae7834f,556,100441,2022,first_quarter,2022-04-20T14:38:21-04:00,unclear,0.55,agreed,established,1
30384,f2ac58b8-6811-4b10-a695-2a304ff51230,55792,159864,2022,first_quarter,2022-04-20T14:52:35-04:00,unclear,0.95,agreed,established,1
30903,515956c8-4c7c-4ce4-98d2-c3ac663c022d,401103845,200253,2022,first_quarter,2022-04-20T15:07:00-04:00,monitoring,0.65,opus,established,1
31029,4ca52813-e992-4534-9297-7d8023943c37,46038,50832,2022,first_quarter,2022-04-20T15:11:13-04:00,unclear,0.95,agreed,established,1
31189,e5a11b8b-743a-4a65-955c-cfcae786b252,32486,213578,2022,first_quarter,2022-04-20T15:16:11-04:00,monitoring,0.95,agreed,established,1
31735,0dbc3b73-6a44-4246-bf92-763916b182e6,401046942,197256,2022,first_quarter,2022-04-20T15:34:10-04:00,unclear,0.4,agreed,established,1
31874,a782a838-511d-4314-b9d5-1ae2266caba3,401103552,199512,2022,first_quarter,2022-04-20T15:37:23-04:00,unclear,0.35,agreed,established,1
32131,1362cc62-2cb8-48c6-8d4d-39181f33fe56,5632,107401,2022,first_quarter,2022-04-20T15:46:17-04:00,monitoring,0.9,agreed,established,1
32554,54d6e1ba-9fff-4f5f-978f-e29e8941b6a9,401103523,199330,2022,first_quarter,2022-04-20T16:00:18-04:00,unclear,0.95,agreed,established,1
33600,f0d20621-cdc6-4993-8b1c-4ad3f29c7fa2,31417,138240,2022,first_quarter,2022-04-20T16:36:38-04:00,unclear,0.5,agreed,established,0
33612,8d6d9fe2-903c-4f93-9f1f-1763b1240fe3,401103897,200355,2022,first_quarter,2022-04-20T16:36:51-04:00,relief,0.9,agreed,established,1
33813,cc4c3675-7a68-4e6c-a4ec-987e96af7ad9,30393,135816,2022,first_quarter,2022-04-20T16:44:24-04:00,relief,0.95,agreed,established,1
33997,93f4ee56-8fc7-4649-a54e-439f4ceaf6bf,290571,177646,2022,first_quarter,2022-04-20T16:51:42-04:00,relief,0.7,opus,established,1
34111,043b3cc2-f1d1-4a37-9815-cd929087b328,401105259,203474,2022,first_quarter,2022-04-20T16:58:12-04:00,relief,0.6,opus,established,1
34885,b8916de2-07ec-499f-8062-7e64b7cf8680,401104734,202537,2022,first_quarter,2022-04-20T17:27:04-04:00,unclear,0.55,agreed,established,1
35147,3d3ef574-e4f8-4d34-be2b-7ebbae8d6823,401104734,202558,2022,first_quarter,2022-04-20T17:35:24-04:00,unclear,0.55,agreed,established,1
35645,ae586ef0-ff20-41b0-a749-187015c506fe,8475,112676,2022,first_quarter,2022-04-20T17:59:29-04:00,unclear,0.4,opus,established,0
36127,b4f9e1f3-b0ca-4c4c-9169-5563a25e65a9,298091,179910,2022,first_quarter,2022-04-20T18:30:53-04:00,relief,0.8,opus,established,1
36138,8c1822cd-8b1f-481f-a490-39b95c290442,16896,122545,2022,first_quarter,2022-04-20T18:31:03-04:00,unclear,0.55,agreed,established,1
36547,3b54f312-f167-4b09-922d-a46069741ea0,66773,163770,2022,first_quarter,2022-04-20T18:55:48-04:00,relief,0.7,opus,established,1
36918,0cf7d4a5-dc44-4001-89aa-ee9b937bb0d5,401103585,205288,2022,first_quarter,2022-04-20T19:21:09-04:00,unclear,0.4,agreed,established,1
37207,05b6d6e8-cd88-4413-b4dc-46c433480e2d,401106332,213013,2022,first_quarter,2022-04-20T19:38:22-04:00,protection,0.6,opus,established,1
37741,440403ec-e7a6-4763-8368-0488d5a8ca7c,401054971,212971,2022,first_quarter,2022-04-20T20:17:32-04:00,relief,0.9,agreed,established,1
38100,347a0400-20c2-4001-be01-28aec7e8b3f0,400794388,195349,2022,first_quarter,2022-04-20T20:50:49-04:00,unclear,0.55,agreed,established,1
38440,7b5b1374-1bda-4ead-83f9-2c9f10b65592,56771,159922,2022,first_quarter,2022-04-20T21:24:16-04:00,relief,0.9,agreed,established,1
38449,d05c149e-2933-4c62-a609-bc7f0c599815,401103218,198214,2022,first_quarter,2022-04-20T21:24:49-04:00,unclear,0.55,agreed,established,1
38640,8217b9e1-1632-4e28-909f-cc86d8ddd12d,4766,104899,2022,first_quarter,2022-04-20T21:45:10-04:00,protection,0.7,opus,established,1
38832,3f99efb4-0ce6-4686-aae6-90944c5c915c,24566,132410,2022,first_quarter,2022-04-20T22:08:23-04:00,unclear,0.3,agreed,established,0
38974,78fc442b-404e-4cc1-8fb3-7f1a372140d7,5404,206593,2022,first_quarter,2022-04-20T22:29:53-04:00,relief,0.88,agreed,established,1
39103,fab34100-c7d0-4515-a32e-130c034e085f,400412950,190379,2022,first_quarter,2022-04-20T22:47:33-04:00,unclear,0.4,agreed,established,1
39178,71128b27-4570-42a2-8cbe-4f9db04df7cd,24566,132410,2022,first_quarter,2022-04-20T22:55:53-04:00,unclear,0.3,agreed,established,1
39435,ca63d7b1-0a16-4cb1-ab46-5191dd682497,27833,134460,2022,first_quarter,2022-04-20T23:25:34-04:00,relief,0.7,opus,established,1
39724,ceaa9ae8-6453-477c-8297-c95036754c1c,401104177,200894,2022,first_quarter,2022-04-21T09:55:34-04:00,unclear,0.4,agreed,established,1
40196,92483b0e-e5d2-43e8-acb7-a317e08357d5,401103237,198275,2022,first_quarter,2022-04-21T19:33:17-04:00,relief,0.92,agreed,established,1
40989,351b6f0e-58e8-43f1-a75b-c3ea1b003f92,897,101863,2022,second_quarter,2022-04-26T09:52:19-04:00,relief,0.9,agreed,unknown,1
41062,bae878c1-903d-4d8d-85df-4d7175336562,1683,102647,2022,first_quarter,2022-04-26T14:07:00-04:00,unclear,0.4,agreed,established,1
41416,8f88d283-62b2-4934-8ef5-b016d7856472,401106587,51417,2022,first_quarter,2022-04-29T10:14:04-04:00,unclear,0.95,agreed,unknown,1
41675,d25d4ca5-ced8-4a47-a327-ffe5dc665a00,37538,146406,2022,first_quarter,2022-05-02T14:24:21-04:00,unclear,0.4,agreed,established,1
42189,d85d65e2-48fb-4cc7-ae44-cf302ddfbc90,1114,101894,2022,first_quarter,2022-05-05T11:54:18-04:00,unclear,0.95,agreed,established,0
42203,0bc54950-a5bf-4d44-80d5-1a766ba762b8,401104830,202799,2022,first_quarter,2022-05-05T11:55:16-04:00,unclear,0.5,agreed,established,1
42662,e9cb2450-b72b-41d4-beda-13ea4b9df461,19888,126444,2022,first_quarter,2022-05-06T11:31:31-04:00,unclear,0.45,opus,established,1
42727,3e7fb2d5-8616-42d0-a0ab-ba7f16c2ab4e,400359656,189550,2022,first_quarter,2022-05-06T16:27:47-04:00,relief,0.9,agreed,established,1
42732,67278289-e69f-4280-a262-9e3988ead988,400359656,189552,2022,first_quarter,2022-05-06T16:31:18-04:00,relief,0.88,agreed,established,1
42872,bd05a9e3-2d30-434f-97ba-8bfd6245d901,400287370,188909,2022,first_quarter,2022-05-09T13:07:33-04:00,unclear,0.45,opus,established,1
42884,b3989ef3-6425-4f9a-bbb4-e81a25ad8fdb,81054,171061,2022,first_quarter,2022-05-09T13:21:08-04:00,protection,0.95,opus,established,1
42918,7d5cfc20-0d9b-4773-9576-765147022729,291594,177806,2022,first_quarter,2022-05-09T15:02:26-04:00,relief,0.85,opus,established,1
42924,6e773510-ad35-4ee3-a7ae-4359703c525f,401106361,213258,2022,first_quarter,2022-05-09T15:17:09-04:00,unclear,0.95,agreed,established,1
43428,9512fa03-497e-40c5-9130-1f31e0f54fa0,12675,51585,2022,second_quarter,2022-05-13T12:45:30-04:00,relief,0.8,agreed,entrant2026,1
43557,381c49e9-9c4e-4345-b3dc-34c28ad3712b,45766,153749,2022,first_quarter,2022-05-15T17:03:14-04:00,unclear,0.4,agreed,established,1
44084,74b4826d-cdb4-46c8-950e-8e45893ed0c5,40011087,187711,2022,first_quarter,2022-05-24T11:47:35-04:00,unclear,0.5,agreed,established,1
44440,c36a025a-c2ee-470e-a670-1ba575d91219,91717,174742,2022,first_quarter,2022-05-27T09:53:24-04:00,relief,0.95,agreed,established,1
44805,b58056a8-aa39-431d-ad7a-2be3655555d1,283696,211867,2022,first_quarter,2022-05-31T12:23:34-04:00,relief,0.6,opus,established,1
44990,3712870b-0b7c-4ec1-b296-878c51f2c175,31417,138240,2022,first_quarter,2022-06-02T11:45:19-04:00,unclear,0.5,agreed,established,1
45029,20adf4a4-98d5-45ea-b2cd-669d01ebb64b,401106679,51752,2022,second_quarter,2022-06-02T13:32:40-04:00,unclear,0.5,agreed,unknown,1
45960,a52ae329-d2a3-4197-9282-19915d2bc9da,287771,51976,2022,second_quarter,2022-06-28T10:10:47-04:00,unclear,0.4,agreed,established,0
46082,76808d90-1ae5-45cf-8645-8b8c859d5e32,40006037,187506,2022,second_quarter,2022-06-29T16:18:13-04:00,relief,0.95,agreed,established,1
47357,cdc5156c-de1b-449b-b17e-22768c85820b,90853,174535,2022,second_quarter,2022-07-06T22:00:49-04:00,unclear,0.45,opus,established,1
47909,0a102505-51b9-41cf-a7bf-b8898b1c0ee1,28504,134535,2022,second_quarter,2022-07-08T10:44:36-04:00,relief,0.95,agreed,established,1
48167,49cf27fc-84dd-406c-9fc2-babfbce51a0b,401104830,202799,2022,second_quarter,2022-07-08T16:02:27-04:00,unclear,0.5,agreed,established,1
48559,e7d83258-98b0-4c82-9596-828268d36e2e,400661993,210126,2022,second_quarter,2022-07-11T08:01:54-04:00,unclear,0.4,agreed,established,1
48580,2e4b6b3e-6b6b-41b5-a072-00dbe4213f61,400670003,206111,2022,second_quarter,2022-07-11T09:06:17-04:00,protection,0.9,opus,established,1
48632,7ffd1f3f-420c-4e81-8652-7ad53746ef32,314432,184995,2022,second_quarter,2022-07-11T10:33:04-04:00,unclear,0.45,opus,established,1
48883,13b4da81-8868-461d-b934-c5ea52d3fed5,401106405,213706,2022,second_quarter,2022-07-11T14:46:03-04:00,relief,0.95,agreed,established,1
49572,704b7e6c-af79-4b05-9903-1e1b09a11308,7975,111010,2022,second_quarter,2022-07-12T13:56:14-04:00,unclear,0.4,agreed,established,0
49884,5a154ad1-d56c-4ae1-ac74-0eaf20a4ff86,55792,159864,2022,second_quarter,2022-07-12T16:48:53-04:00,unclear,0.95,agreed,established,1
50185,8131c666-dae9-4c56-a5ff-58592d1c2639,7268,110469,2022,second_quarter,2022-07-13T10:13:18-04:00,unclear,0.4,agreed,established,0
50188,bc51227f-1ecf-43d1-aea3-9ccd11b70c3f,7268,110469,2022,second_quarter,2022-07-13T10:13:27-04:00,unclear,0.4,agreed,established,1
50230,af474ec7-30fd-40e4-aa20-696c77e83b38,401103903,200360,2022,second_quarter,2022-07-13T10:50:27-04:00,relief,0.82,agreed,established,0
50372,6d245b0a-92ac-4a20-9ccb-d7aaee8ff953,40011087,187711,2022,second_quarter,2022-07-13T12:21:56-04:00,unclear,0.5,agreed,established,1
51071,cd00ea0f-1c71-48b9-acff-c2e0a1430e7b,400942717,196304,2022,second_quarter,2022-07-14T11:05:55-04:00,unclear,0.4,agreed,established,1
51285,c214741d-cf44-4403-bb52-9f655509ccc9,401104738,211893,2022,second_quarter,2022-07-14T13:09:30-04:00,protection,0.75,opus,established,1
52203,fc4156f9-0e6d-4938-ac95-cf7a3464ec27,24486,212498,2022,second_quarter,2022-07-15T09:35:56-04:00,unclear,0.55,agreed,established,1
52781,21c54ff1-e6d3-4165-8a81-dc5e0df26ff4,400408933,190355,2022,second_quarter,2022-07-15T13:09:26-04:00,mixed,0.7,opus,established,1
53269,b9ef9328-1096-4418-9a87-0b6a7644eede,57338,159975,2022,second_quarter,2022-07-15T16:31:54-04:00,unclear,0.5,agreed,established,1
53983,1a2ba61b-6abe-4a10-810e-e90d9cb0500b,22883,129729,2022,second_quarter,2022-07-16T14:18:43-04:00,unclear,0.95,agreed,established,1
54782,50a2bbb6-22a0-40ca-9752-882a47b17e0e,22883,129738,2022,second_quarter,2022-07-17T17:31:16-04:00,unclear,0.95,agreed,established,1
55437,5befbc07-93f9-4810-8c7f-0397cbeec34f,401103094,197904,2022,second_quarter,2022-07-18T10:31:07-04:00,unclear,0.4,agreed,established,1
56175,24b28cce-5ab1-40af-9b18-3ddb667ceea4,38687,146957,2022,second_quarter,2022-07-18T12:57:44-04:00,unclear,0.95,agreed,established,1
56352,b63e4119-a962-4cec-8fda-d40922d47a48,401105589,205749,2022,second_quarter,2022-07-18T13:32:22-04:00,mixed,0.7,opus,established,1
56451,70b6f604-ff21-4a2f-bc46-a2b6157418de,45937,153798,2022,second_quarter,2022-07-18T13:48:36-04:00,relief,0.9,agreed,established,1
57232,5f3bd1f0-52af-4dff-86d8-8c2bc24d9f90,285871,176177,2022,second_quarter,2022-07-18T15:31:05-04:00,unclear,0.5,agreed,established,1
57310,161f1ba5-9760-463e-bf4e-ca0b9b96db08,49635,156506,2022,second_quarter,2022-07-18T15:43:39-04:00,unclear,0.45,opus,established,1
57528,11c47f6e-aece-4b79-8299-11a4755fc0e9,22883,129756,2022,second_quarter,2022-07-18T16:03:15-04:00,unclear,0.9,agreed,established,1
58136,bdf0fd8a-4f03-4f8e-9388-ff43c04fad31,400426039,190608,2022,second_quarter,2022-07-18T18:18:53-04:00,unclear,0.4,opus,established,1
58754,9a15b79f-d75e-4cdd-afd0-a29c1904f88b,27753,134319,2022,second_quarter,2022-07-18T22:21:21-04:00,unclear,0.4,agreed,established,1
59068,2aa8411a-247a-41b4-a736-85763ea32ca8,39837,148617,2022,second_quarter,2022-07-19T06:15:36-04:00,relief,0.6,opus,established,1
59424,f69388f8-fec0-48a6-8950-bd297f2a0537,401103472,198926,2022,second_quarter,2022-07-19T08:48:47-04:00,unclear,0.4,agreed,established,1
59726,a891a892-5032-4fd0-8c0c-e4580ff57943,401103524,199384,2022,second_quarter,2022-07-19T09:37:20-04:00,relief,0.95,agreed,established,1
60419,6eb2dc64-713f-4b75-b799-e152dde381d2,400426039,190614,2022,second_quarter,2022-07-19T10:50:22-04:00,unclear,0.4,opus,established,1
