committee_id,committee_name,issue_code,weight,notes
SSEV,Senate Committee on Environment and Public Works,WAS,secondary,
SSFI,Senate Committee on Finance,TAX,secondary,full-committee fallback; prefer SSFI11 (Taxation and IRS Oversight) subcommittee row when available
SSFI,Senate Committee on Finance,MMM,secondary,full-committee fallback; prefer SSFI10 (Health Care) subcommittee row when available
SSFI11,Senate Committee on Finance -- Taxation and IRS Oversight,TAX,primary,
SSFI10,Senate Committee on Finance -- Health Care,MMM,primary,
SSFI10,Senate Committee on Finance -- Health Care,HCR,secondary,
SSFI12,Senate Committee on Finance -- Energy Natural Resources and Infrastructure,ENG,secondary,
SSFI13,Senate Committee on Finance -- International Trade Customs and Global Competitiveness,TRD,primary,
SSFI13,Senate Committee on Finance -- International Trade Customs and Global Competitiveness,TAR,secondary,
SSFI02,Senate Committee on Finance -- Social Security Pensions and Family Policy,RET,primary,
SSFI14,Senate Committee on Finance -- Fiscal Responsibility and Economic Growth,ECN,secondary,
SSFR,Senate Committee on Foreign Relations,FOR,primary,
SSHR,Senate Committee on Health Education Labor and Pensions,HCR,primary,
SSHR,Senate Committee on Health Education Labor and Pensions,EDU,primary,
SSHR,Senate Committee on Health Education Labor and Pensions,LBR,primary,
SSHR,Senate Committee on Health Education Labor and Pensions,RET,secondary,pensions jurisdiction
SSGA,Senate Committee on Homeland Security and Governmental Affairs,HOM,primary,
SSGA,Senate Committee on Homeland Security and Governmental Affairs,GOV,secondary,
SLIA,Senate Committee on Indian Affairs,IND,primary,
SSRA,Senate Committee on Rules and Administration,,none,internal procedure -- out of scope
SSSB,Senate Committee on Small Business and Entrepreneurship,SMB,primary,
SSVA,Senate Committee on Veterans' Affairs,VET,primary,
SSBU,Senate Committee on the Budget,BUD,primary,
SSJU,Senate Committee on the Judiciary,LAW,primary,
SSJU,Senate Committee on the Judiciary,CIV,secondary,
SSJU,Senate Committee on the Judiciary,IMM,secondary,
SSJU,Senate Committee on the Judiciary,CPT,secondary,
SLET,Senate Select Committee on Ethics,,none,no legislative-issue jurisdiction -- internal conduct only; out of scope
SLIN,Senate Select Committee on Intelligence,INT,primary,
SPAG,Senate Special Committee on Aging,RET,secondary,no dedicated committee-of-jurisdiction status; investigative/advisory only, weak signal
SCNC,United States Senate Caucus on International Narcotics Control,ALC,secondary,caucus not a standing committee; weak signal, no formal legislative jurisdiction
